"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"1",2004,1,1,1,1,0,11,0,0,0,0,32,20,8,1,10,5,0,0,2,0,61,5,8,0,1,1,6.75,0.327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,1,2,162,91,3256854,101,300000,2.8125,6.85625,13.3835303278689,7673.55488260153,4.02295081967213,14.6743048763448
"2",2006,1,2,1,3,0,45,0,0,0,0,159,41,24,9,28,49,0,1,1,0,225,9,25,1,3,2,4.07547169811321,0.182222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,2,6,162,66,3123215,103,300000,1.30188679245283,5.2,3.87891924528302,12960.9950817208,6.46666666666667,33.4222764441188
"3",2007,1,3,2,2,1,25,0,0,0,0,97,39,23,4,17,36,3,2,1,0,151,7,24,2,1,1,6.4020618556701,0.258278145695364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,2,4,162,72,2684395,104,387500,1.7319587628866,3.97319587628866,5.92647994469857,8330.91063879512,7.06887417218543,25.66947230323
"4",2008,1,4,2,4,2,47,0,0,0,0,146,49,30,4,35,49,2,3,5,0,228,7,32,3,2,4,5.54794520547945,0.214912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,3,2,162,95,3048250,106,403250,1.72602739726027,4.5972602739726,5.63250024783706,9798.34450190935,5.97894736842105,31.8122035816611
"5",2009,1,5,2,3,6,73,0,0,0,38,214,49,20,4,34,80,3,2,0,0,296,53,23,2,1,2,2.52336448598131,0.165540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,1,3,162,85,2195533,96,419000,1.16355140186916,2.98971962616822,2.33616100577797,19510.5831074463,7.38648648648649,24.827418153281
"6",2010,1,5,2,0,6,53,0,0,0,31,149,33,19,5,25,49,5,2,2,0,202,43,19,7,1,5,3.44295302013423,0.163366336633663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,1,4,162,61,2085488,95,2750000,1.16778523489933,3.86442953020134,2.74451365539239,14150.4910582627,7.0039603960396,21.3422404074986
"7",2012,1,6,2,0,0,1,0,0,0,0,3,1,1,1,1,1,0,0,0,0,5,1,1,0,0,0,9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,3,1,162,95,3542406,102,500000,2,17.2,14.272,5812.14800513879,5.4,2.72064593165406
"8",2013,1,7,1,2,2,43,0,0,0,0,119,39,19,7,19,36,6,1,4,1,178,7,20,2,1,2,4.3109243697479,0.219101123595506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,3,4,162,74,2135657,95,500000,1.46218487394958,4.96470588235294,4.98647047493155,11301.398898881,6.68089887640449,29.6482775688633
"9",2015,1,8,1,1,1,33,0,0,0,0,92,25,16,6,14,35,3,1,1,0,129,9,17,0,1,4,4.69565217391304,0.193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,3,4,162,67,2001392,97,500000,1.27173913043478,4.63478260869565,3.92653640040445,10593.8743459678,7.53953488372093,20.8514418875619
"10",2011,1,9,1,1,4,29,0,0,0,0,59,28,16,5,9,15,0,0,1,0,99,1,18,1,2,0,7.32203389830508,0.282828282828283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,2,2,2010,0,0,2,6,162,56,2067016,104,418000,1.88135593220339,6.50508474576271,8.06287041602465,7284.1789541527,6.00606060606061,23.1969715016848
