"","yearID","stint","teamID","lgID","l_W","l_L","l_G","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","birthYear","birthCountry","throws","debut","GP","n_award","divID","Rank","G","W","attendance","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR"
"1",2004,1,1,1,1,0,11,0,0,0,0,32,20,8,1,10,5,0,0,2,0,61,5,8,0,1,1,6.75,0.327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,1,2,162,91,3256854,101,3e+05,2.8125,6.85625,13.3835303278689,7123.88030841609,4.02295081967213,14.6743048763448
"2",2007,1,2,2,2,1,25,0,0,0,0,97,39,23,4,17,36,3,2,1,0,151,7,24,2,1,1,6.4020618556701,0.258278145695364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,2,4,162,72,2684395,104,387500,1.7319587628866,3.97319587628866,5.92647994469857,7734.14814370443,7.06887417218543,25.66947230323
"3",2008,1,3,2,4,2,47,0,0,0,0,146,49,30,4,35,49,2,3,5,0,228,7,32,3,2,4,5.54794520547945,0.214912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,3,2,162,95,3048250,106,403250,1.72602739726027,4.5972602739726,5.63250024783706,9096.46630800722,5.97894736842105,31.8122035816611
"4",2009,1,4,2,3,6,73,0,0,0,38,214,49,20,4,34,80,3,2,0,0,296,53,23,2,1,2,2.52336448598131,0.165540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,1,3,162,85,2195533,96,419000,1.16355140186916,2.98971962616822,2.33616100577797,18112.9946851609,7.38648648648649,24.827418153281
"5",2010,1,4,2,0,6,53,0,0,0,31,149,33,19,5,25,49,5,2,2,0,202,43,19,7,1,5,3.44295302013423,0.163366336633663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,1,4,162,61,2085488,95,2750000,1.16778523489933,3.86442953020134,2.74451365539239,13136.8584895297,7.0039603960396,21.3422404074986
"6",2012,1,5,2,0,0,1,0,0,0,0,3,1,1,1,1,1,0,0,0,0,5,1,1,0,0,0,9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,1,1,2004,0,0,3,1,162,95,3542406,102,5e+05,2,17.2,14.272,5395.81033261219,5.4,2.72064593165406
"7",2011,1,6,1,1,4,29,0,0,0,0,59,28,16,5,9,15,0,0,1,0,99,1,18,1,2,0,7.32203389830508,0.282828282828283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,2,2,2010,0,0,2,6,162,56,2067016,104,418000,1.88135593220339,6.50508474576271,8.06287041602465,6762.39628286528,6.00606060606061,23.1969715016848
"8",2012,1,6,1,0,6,37,6,0,0,0,138,57,26,6,19,38,1,4,3,0,208,8,27,2,1,4,5.08695652173913,0.274038461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,2,2,2010,0,0,2,6,162,55,1607733,101,485000,1.65217391304348,4.61304347826087,6.13419355664716,9452.8411784752,6.38076923076923,36.0783101683188
"9",2014,1,7,2,2,4,69,0,0,0,0,172,34,10,4,15,51,3,0,4,0,216,17,11,1,2,6,1.56976744186047,0.157407407407407,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1985,2,2,2010,0,0,1,2,162,88,2003628,97,525900,0.854651162790698,3.16511627906977,1.62426635174419,29419.5096697064,7.34444444444444,15.8057834583259
"10",2015,1,7,2,2,2,62,0,0,0,0,143,45,22,11,19,45,3,4,1,0,205,17,23,3,3,1,4.15384615384615,0.219512195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,2,2,2010,0,0,1,5,162,68,1768175,98,1087500,1.34265734265734,5.38181818181818,4.62784944567627,11232.4548427254,7.0390243902439,38.2199353131432
"11",2016,2,8,2,1,6,57,0,0,0,1,140,40,19,4,22,41,2,1,1,1,198,15,20,0,1,7,3.66428571428571,0.202020202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,2,2,2010,0,0,2,5,162,59,1963912,98,1250000,1.32857142857143,3.90714285714286,3.50289863636364,12733.147190134,6.61212121212121,22.9656099199805
"12",1999,1,9,1,2,8,20,15,0,0,0,246,110,63,14,42,37,3,7,2,0,394,3,71,2,1,9,6.91463414634146,0.279187817258883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,1,2,1989,0,0,2,5,161,74,1701796,99,4e+05,1.85365853658537,6.01707317073171,7.16309332673022,6816.55591038683,5.27817258883249,79.8597310367151
