"","yearID","l_W","l_L","l_GS","l_CG","l_SHO","l_SV","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_IBB","l_WP","l_HBP","l_BK","l_BFP","l_GF","l_R","l_SH","l_SF","l_GIDP","l_ERA","l_BAOpp","round","po_W","po_L","po_G","po_GS","po_CG","po_SHO","po_SV","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_IBB","po_WP","po_HBP","po_BK","po_BFP","po_GF","po_R","po_SH","po_SF","po_GIDP","po_ERA","po_BAOpp","GP","n_award","Rank","W","PPF","salary","WHIP","FIP","ERC","ERAP","kwERA","BSR","l_GM","attendance.f","career","years_old","throws.1","throws.2","salary.n","b1.l_W","b1.l_GS","b1.l_GM","b1.l_CG","b1.l_ER","b1.l_IPouts","b1.l_H","b1.l_HR","b1.l_BB","b1.l_SO","b1.BSR","b2.l_W","b2.l_GS","b2.l_GM","b2.l_CG","b2.l_ER","b2.l_IPouts","b2.l_H","b2.l_HR","b2.l_BB","b2.l_SO","b2.BSR"
"1",2007,2,1,0,0,0,0,97,39,23,4,17,36,3,2,1,0,151,7,24,2,1,1,6.4020618556701,0.258278145695364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,104,403250,1.7319587628866,3.97319587628866,5.92647994469857,8121.89069768671,7.06887417218543,25.66947230323,25,2,3,26,1,0,3596404.8,3,0,45,0,24,159,41,9,28,49,33.4222764441188,1,0,11,0,8,32,20,1,10,5,14.6743048763448
"2",2008,4,2,0,0,0,0,146,49,30,4,35,49,2,3,5,0,228,7,32,3,2,4,5.54794520547945,0.214912280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,106,419000,1.72602739726027,4.5972602739726,5.63250024783706,9552.50710434903,5.97894736842105,31.8122035816611,47,3,4,27,1,0,2477735.23529412,2,0,25,0,23,97,39,4,17,36,25.66947230323,3,0,45,0,24,159,41,9,28,49,33.4222764441188
"3",2009,3,6,0,0,0,38,214,49,20,4,34,80,3,2,0,0,296,53,23,2,1,2,2.52336448598131,0.165540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,96,2750000,1.16355140186916,2.98971962616822,2.33616100577797,19021.0686823223,7.38648648648649,24.827418153281,73,1,5,28,1,0,2365311.76470588,4,0,47,0,30,146,49,4,35,49,31.8122035816611,2,0,25,0,23,97,39,4,17,36,25.66947230323
"4",2010,0,6,0,0,0,31,149,33,19,5,25,49,5,2,2,0,202,43,19,7,1,5,3.44295302013423,0.163366336633663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,95,4500000,1.16778523489933,3.86442953020134,2.74451365539239,13795.4596654304,7.0039603960396,21.3422404074986,53,1,6,29,1,0,2859382.35294118,3,0,73,0,20,214,49,4,34,80,24.827418153281,4,0,47,0,30,146,49,4,35,49,31.8122035816611
"5",2012,0,0,0,0,0,0,3,1,1,1,1,1,0,0,0,0,5,1,1,0,0,0,9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,102,5e+05,2,17.2,14.272,5666.3230303647,5.4,2.72064593165406,1,3,8,31,1,0,5509631.17647059,0,0,53,0,19,149,33,5,25,49,21.3422404074986,3,0,73,0,20,214,49,4,34,80,24.827418153281
"6",2013,2,2,0,0,0,0,119,39,19,7,19,36,6,1,4,1,178,7,20,2,1,2,4.3109243697479,0.219101123595506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,95,5e+05,1.46218487394958,4.96470588235294,4.98647047493155,11017.8503368202,6.68089887640449,29.6482775688633,43,1,9,32,1,0,1554841.84615385,0,0,1,0,1,3,1,1,1,1,2.72064593165406,0,0,53,0,19,149,33,5,25,49,21.3422404074986
"7",2015,1,1,0,0,0,0,92,25,16,6,14,35,3,1,1,0,129,9,17,0,1,4,4.69565217391304,0.193798449612403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,97,5e+05,1.27173913043478,4.63478260869565,3.92653640040445,10328.0773535487,7.53953488372093,20.8514418875619,33,1,11,34,1,0,1585155.27272727,2,0,43,0,19,119,39,7,19,36,29.6482775688633,0,0,1,0,1,3,1,1,1,1,2.72064593165406
"8",2012,0,6,6,0,0,0,138,57,26,6,19,38,1,4,3,0,208,8,27,2,1,4,5.08695652173913,0.274038461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,101,485000,1.65217391304348,4.61304347826087,6.13419355664716,9926.74841594057,6.38076923076923,36.0783101683188,31,0,2,27,0,1,1934700,1,0,29,0,16,59,28,5,9,15,23.1969715016848,0,0,22,0,6,57,14,3,5,12,9.52562526839526
"9",2013,0,3,0,0,0,0,113,42,14,3,10,32,0,0,1,0,166,17,14,0,0,0,3.34513274336283,0.253012048192771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,101,525900,1.38053097345133,3.41238938053097,4.0478421233607,15095.6453654417,6.91807228915663,20.8737120792155,39,2,3,28,0,1,3565370.58823529,0,6,31,0,26,138,57,6,19,38,36.0783101683188,1,0,29,0,16,59,28,5,9,15,23.1969715016848
"10",2014,2,4,0,0,0,0,172,34,10,4,15,51,3,0,4,0,216,17,11,1,2,6,1.56976744186047,0.157407407407407,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,88,97,1087500,0.854651162790698,3.16511627906977,1.62426635174419,30894.4226923543,7.34444444444444,15.8057834583259,69,1,4,29,0,1,2262800,0,0,39,0,14,113,42,3,10,32,20.8737120792155,0,6,31,0,26,138,57,6,19,38,36.0783101683188
"11",2015,2,2,0,0,0,0,143,45,22,11,19,45,3,4,1,0,205,17,23,3,3,1,4.15384615384615,0.219512195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68,98,1250000,1.34265734265734,5.38181818181818,4.62784944567627,11795.5809488311,7.0390243902439,38.2199353131432,62,0,5,30,0,1,2970861.14285714,2,0,69,0,10,172,34,4,15,51,15.8057834583259,0,0,39,0,14,113,42,3,10,32,20.8737120792155
