"","l_W","l_L","l_GS","l_CG","l_SHO","l_IPouts","l_H","l_ER","l_HR","l_BB","l_SO","l_WP","l_HBP","l_BFP","l_R","l_SH","l_SF","l_GIDP","round","po_L","po_GS","po_IPouts","po_H","po_ER","po_HR","po_BB","po_SO","po_BFP","po_R","GP","salary","kwERA","BSR","l_GM","attendance.f","career","b1.WHIP","b1.FIP","b1.kwERA","b1.BSR","b1.round","b1.l_GM","b2.WHIP","b2.kwERA","b2.BSR","b2.round"
"1",2,1,0,0,0,97,39,23,4,17,36,2,1,151,24,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,403250,7.06887417218543,25.66947230323,25,2,3,1.30188679245283,5.2,6.46666666666667,33.4222764441188,0,45,2.8125,4.02295081967213,14.6743048763448,0
"2",4,2,0,0,0,146,49,30,4,35,49,3,5,228,32,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,419000,5.97894736842105,31.8122035816611,47,3,4,1.7319587628866,3.97319587628866,7.06887417218543,25.66947230323,0,25,1.30188679245283,6.46666666666667,33.4222764441188,0
"3",3,6,0,0,0,214,49,20,4,34,80,2,0,296,23,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2750000,7.38648648648649,24.827418153281,73,1,5,1.72602739726027,4.5972602739726,5.97894736842105,31.8122035816611,0,47,1.7319587628866,7.06887417218543,25.66947230323,0
"4",0,6,0,0,0,149,33,19,5,25,49,2,2,202,19,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4500000,7.0039603960396,21.3422404074986,53,1,6,1.16355140186916,2.98971962616822,7.38648648648649,24.827418153281,0,73,1.72602739726027,5.97894736842105,31.8122035816611,0
"5",0,0,0,0,0,3,1,1,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,5.4,2.72064593165406,1,3,8,1.16778523489933,3.86442953020134,7.0039603960396,21.3422404074986,0,53,1.16355140186916,7.38648648648649,24.827418153281,0
"6",2,2,0,0,0,119,39,19,7,19,36,1,4,178,20,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,6.68089887640449,29.6482775688633,43,1,9,2,17.2,5.4,2.72064593165406,0,1,1.16778523489933,7.0039603960396,21.3422404074986,0
"7",1,1,0,0,0,92,25,16,6,14,35,1,1,129,17,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,7.53953488372093,20.8514418875619,33,1,11,1.46218487394958,4.96470588235294,6.68089887640449,29.6482775688633,0,43,2,5.4,2.72064593165406,0
"8",0,6,6,0,0,138,57,26,6,19,38,4,3,208,27,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,485000,6.38076923076923,36.0783101683188,31,0,2,1.88135593220339,6.50508474576271,6.00606060606061,23.1969715016848,0,29,1,6.50526315789474,9.52562526839526,0
"9",0,3,0,0,0,113,42,14,3,10,32,0,1,166,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525900,6.91807228915663,20.8737120792155,39,2,3,1.65217391304348,4.61304347826087,6.38076923076923,36.0783101683188,0,31,1.88135593220339,6.00606060606061,23.1969715016848,0
"10",2,4,0,0,0,172,34,10,4,15,51,0,4,216,11,1,2,6,1,0,0,1,0,0,0,0,0,1,0,0,1087500,7.34444444444444,15.8057834583259,69,1,4,1.38053097345133,3.41238938053097,6.91807228915663,20.8737120792155,0,39,1.65217391304348,6.38076923076923,36.0783101683188,0
"11",2,2,0,0,0,143,45,22,11,19,45,4,1,205,23,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1250000,7.0390243902439,38.2199353131432,62,0,5,0.854651162790698,3.16511627906977,7.34444444444444,15.8057834583259,1,69,1.38053097345133,6.91807228915663,20.8737120792155,0
"12",9,7,27,0,0,537,164,84,23,80,100,3,5,766,89,1,4,20,1,1,2,32,8,4,1,6,4,46,5,0,1700000,5.6976501305483,107.632044071843,8,2,10,1.12844036697248,4.13577981651376,6.97046979865772,33.9833610648918,0,18,1.37837837837838,6.77142857142857,12.9565688243124,0
"13",17,4,27,1,0,489,145,77,21,87,118,11,7,710,79,3,5,11,1,0,1,24,9,8,3,13,5,43,8,0,3425000,5.89014084507042,100.490198113393,1,3,11,1.36312849162011,5.11061452513967,5.6976501305483,107.632044071843,1,8,1.12844036697248,6.97046979865772,33.9833610648918,0
"14",1,3,5,0,0,79,40,35,5,20,22,2,1,137,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3425000,5.48759124087591,32.8146453089245,2,3,12,1.42331288343558,5.06503067484663,5.89014084507042,100.490198113393,1,1,1.36312849162011,5.6976501305483,107.632044071843,1
"15",1,2,8,0,0,143,47,28,8,26,32,2,2,214,29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6e+05,5.73644859813084,36.0577588287346,2,0,13,2.27848101265823,6.38987341772152,5.48759124087591,32.8146453089245,0,2,1.42331288343558,5.89014084507042,100.490198113393,1
"16",3,11,19,0,0,288,106,69,22,58,46,6,4,451,76,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6e+05,5.00088691796009,94.0664510278011,1,0,14,1.53146853146853,5.67552447552448,5.73644859813084,36.0577588287346,0,2,2.27848101265823,5.48759124087591,32.8146453089245,0
"17",4,4,0,0,0,202,51,16,4,24,57,0,2,275,19,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,392200,6.84,23.9804101413985,64,1,2,1.39130434782609,3.64927536231884,6.93535353535354,41.2546913570693,0,65,1.17977528089888,6.07741935483871,12.3133000742333,0
"18",0,3,0,0,0,37,15,9,1,4,5,1,1,56,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,392200,5.82857142857143,7.84958771680409,16,1,3,1.11386138613861,3.34851485148515,6.84,23.9804101413985,0,64,1.39130434782609,6.93535353535354,41.2546913570693,0
"19",0,0,0,0,0,74,23,7,2,17,18,0,2,107,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1080000,5.4,14.7014679431827,26,0,4,1.54054054054054,4.17297297297297,5.82857142857143,7.84958771680409,0,16,1.11386138613861,6.84,23.9804101413985,0
"20",0,1,0,0,0,20,12,6,0,3,3,2,1,34,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1080000,5.04705882352941,5.9386364460124,5,0,5,1.62162162162162,4.98378378378378,5.4,14.7014679431827,0,26,1.54054054054054,5.82857142857143,7.84958771680409,0
"21",3,3,0,0,0,113,43,24,5,18,23,0,1,167,24,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1080000,5.9748502994012,28.3990211713955,31,0,6,2.25,4.1,5.04705882352941,5.9386364460124,0,5,1.62162162162162,5.4,14.7014679431827,0
"22",0,0,0,0,0,112,42,20,3,16,29,2,0,162,21,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1080000,6.43703703703704,23.1049050170716,27,0,7,1.61946902654867,4.89911504424779,5.9748502994012,28.3990211713955,0,31,2.25,5.04705882352941,5.9386364460124,0
"23",10,2,4,0,0,342,84,33,8,42,80,1,15,474,37,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1200000,6.00759493670886,42.1445058996407,51,3,3,1.16666666666667,4.95,4.94716981132076,5.18875630655882,0,10,1.01190476190476,7.18041543026706,37.7209081159831,1
"24",2,10,0,0,0,252,80,50,11,31,75,3,6,361,51,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2650000,6.72963988919668,50.3668338466997,69,3,4,1.10526315789474,4.18245614035088,6.00759493670886,42.1445058996407,0,51,1.16666666666667,4.94716981132076,5.18875630655882,0
"25",4,1,6,0,0,111,42,20,8,22,24,0,0,169,21,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2650000,5.54201183431953,35.8505725283613,5,2,5,1.32142857142857,4.36666666666667,6.72963988919668,50.3668338466997,0,69,1.10526315789474,6.00759493670886,42.1445058996407,0
"26",1,2,0,0,0,58,23,14,6,4,16,0,1,85,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2650000,6.95294117647059,19.8772869326129,10,3,6,1.72972972972973,6.4972972972973,5.54201183431953,35.8505725283613,0,5,1.32142857142857,6.72963988919668,50.3668338466997,0
"27",2,0,4,1,0,81,17,8,3,6,23,1,1,103,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,340000,7.38058252427185,9.56148330835062,1,1,2,1.69014084507042,8.18591549295775,5.4,28.73914045102,0,1,1.40625,6.34964028776978,71.2649455866514,0
"28",5,12,27,0,0,473,188,104,30,45,117,3,5,704,108,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,340000,6.67840909090909,130.15967538489,12,1,3,0.851851851851852,3.60740740740741,7.38058252427185,9.56148330835062,0,1,1.69014084507042,5.4,28.73914045102,0
"29",2,4,5,0,0,192,86,46,13,16,31,0,1,292,48,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,340000,6.0986301369863,59.5376009882398,31,1,4,1.47780126849894,4.98858350951374,6.67840909090909,130.15967538489,0,12,0.851851851851852,7.38058252427185,9.56148330835062,0
