"","nleaf","L1","L2","MSE"
"2",10,0,0,5340095466997.94
"3",10,0,100,5141187230167.96
"4",10,0,500,5093411008283.52
"5",10,0,1000,4957155952035.29
"6",10,0,5000,5012528074491.46
"7",10,0,10000,4890334967966.77
"8",10,0,20000,5012481832277.67
"9",10,1e+05,0,5336528979172.78
"10",10,1e+05,100,5140915975009.21
"11",10,1e+05,500,5043832798928.9
"12",10,1e+05,1000,4980770800838.82
"13",10,1e+05,5000,4940836626352.54
"14",10,1e+05,10000,4959943493161.46
"15",10,1e+05,20000,4982378085740.7
"16",10,5e+05,0,5433382121299.75
"17",10,5e+05,100,5068185671343.63
"18",10,5e+05,500,5043514582343.03
"19",10,5e+05,1000,5031913725721.03
"20",10,5e+05,5000,4880544513075.75
"21",10,5e+05,10000,4933169992764.7
"22",10,5e+05,20000,4954805134512.25
"23",10,1e+06,0,5337098181879.35
"24",10,1e+06,100,5062814161975.88
"25",10,1e+06,500,5126104268099.85
"26",10,1e+06,1000,4920144480355.94
"27",10,1e+06,5000,4919397975367.34
"28",10,1e+06,10000,4950220824241.34
"29",10,1e+06,20000,4983427249022.13
"30",10,5e+06,0,5765343522914.48
"31",10,5e+06,100,5093172619745.81
"32",10,5e+06,500,5146649301105.85
"33",10,5e+06,1000,4996036356164.39
"34",10,5e+06,5000,4990495411286.06
"35",10,5e+06,10000,4967714609519.01
"36",10,5e+06,20000,4968353423654.09
"37",10,1e+08,0,5189893948721.6
"38",10,1e+08,100,4911336260912.06
"39",10,1e+08,500,5175958059925.4
"40",10,1e+08,1000,5096932678616.12
"41",10,1e+08,5000,5093801863557.61
"42",10,1e+08,10000,4996489115460.16
"43",10,1e+08,20000,5024653244394.48
"44",15,0,0,5193795532429.62
"45",15,0,100,5238435770100.73
"46",15,0,500,5042036350510.99
"47",15,0,1000,4980087894648.4
"48",15,0,5000,4992955452863.43
"49",15,0,10000,4967516824044.02
"50",15,0,20000,4939045892630.68
"51",15,1e+05,0,5201232623209.67
"52",15,1e+05,100,5098984746524.85
"53",15,1e+05,500,4999992585654.92
"54",15,1e+05,1000,4927573069058.56
"55",15,1e+05,5000,4921581782106.8
"56",15,1e+05,10000,4935996593901.32
"57",15,1e+05,20000,5012031251919.19
"58",15,5e+05,0,5280590459735.82
"59",15,5e+05,100,5323983739242.72
"60",15,5e+05,500,5013842559173.43
"61",15,5e+05,1000,4968452290927.13
"62",15,5e+05,5000,4924498962576.7
"63",15,5e+05,10000,4959721700246.34
"64",15,5e+05,20000,4974584205370.81
"65",15,1e+06,0,5465523871704.97
"66",15,1e+06,100,5129694007429.28
"67",15,1e+06,500,5011882313047.92
"68",15,1e+06,1000,4934010536806.12
"69",15,1e+06,5000,4961541002936.57
"70",15,1e+06,10000,4894071435440.94
"71",15,1e+06,20000,4952056826250.35
"72",15,5e+06,0,5799179837996.95
"73",15,5e+06,100,5395538554068.75
"74",15,5e+06,500,5075734180641.99
"75",15,5e+06,1000,4837138999780.55
"76",15,5e+06,5000,4996743208627.73
"77",15,5e+06,10000,4954340206291.24
"78",15,5e+06,20000,4965488216164.03
"79",15,1e+08,0,5405014513800.01
"80",15,1e+08,100,5042729051141.57
"81",15,1e+08,500,5308849765681.25
"82",15,1e+08,1000,5169105208783.75
"83",15,1e+08,5000,5059710673131.66
"84",15,1e+08,10000,5036986903953.4
"85",15,1e+08,20000,5037971371888.58
"86",20,0,0,5389830401900.33
"87",20,0,100,5317000854809.91
"88",20,0,500,5044154737223.38
"89",20,0,1000,5019641708940.16
"90",20,0,5000,4920853817490.41
"91",20,0,10000,4930698136122.39
"92",20,0,20000,4929637529177.68
"93",20,1e+05,0,5390837066081.61
"94",20,1e+05,100,5250947508825.93
"95",20,1e+05,500,5137286251612.5
"96",20,1e+05,1000,4997256643144.45
"97",20,1e+05,5000,4937024551866.44
"98",20,1e+05,10000,4938360103565.7
"99",20,1e+05,20000,4980878217756.77
"100",20,5e+05,0,5410661477814.56
"101",20,5e+05,100,5283240451930.99
"102",20,5e+05,500,5078852303384.42
"103",20,5e+05,1000,5075738257832.82
"104",20,5e+05,5000,4911421273150.07
"105",20,5e+05,10000,4955424632513.66
"106",20,5e+05,20000,5050616221923.75
"107",20,1e+06,0,5307914608487.34
"108",20,1e+06,100,5320164994291.29
"109",20,1e+06,500,5043001337208.88
"110",20,1e+06,1000,5048032528147.83
"111",20,1e+06,5000,4900738534602.44
"112",20,1e+06,10000,4932782204201.83
"113",20,1e+06,20000,4946761644878.24
"114",20,5e+06,0,6152614050469.75
"115",20,5e+06,100,5226265865666.88
"116",20,5e+06,500,5015158688288.65
"117",20,5e+06,1000,4978804101151.77
"118",20,5e+06,5000,4883396427472.71
"119",20,5e+06,10000,4878904527426.33
"120",20,5e+06,20000,4977739620079.27
"121",20,1e+08,0,5608864027596.69
"122",20,1e+08,100,5005947497209.87
"123",20,1e+08,500,5287814031797.19
"124",20,1e+08,1000,5182849273785.51
"125",20,1e+08,5000,5055081662200.98
"126",20,1e+08,10000,5041620730959.6
"127",20,1e+08,20000,5017247199905.96
"128",25,0,0,5664961937152.63
"129",25,0,100,5181822307613.72
"130",25,0,500,5102590956956.07
"131",25,0,1000,4982663182251.99
"132",25,0,5000,4943927088324.16
"133",25,0,10000,4975846535092.88
"134",25,0,20000,4975048473495.88
"135",25,1e+05,0,5683192592768.91
"136",25,1e+05,100,5175067730242.7
"137",25,1e+05,500,5081862807081.03
"138",25,1e+05,1000,5121102550833.21
"139",25,1e+05,5000,4896457020396.59
"140",25,1e+05,10000,4939261877284.71
"141",25,1e+05,20000,4925322528889.53
"142",25,5e+05,0,5937457208225.59
"143",25,5e+05,100,5184232086685.42
"144",25,5e+05,500,4992704113891
"145",25,5e+05,1000,5030629365767.56
"146",25,5e+05,5000,4896967429747.37
"147",25,5e+05,10000,4934350437439.38
"148",25,5e+05,20000,4939565136604.4
"149",25,1e+06,0,5767970314538.47
"150",25,1e+06,100,5252217108798.23
"151",25,1e+06,500,5044249588801.07
"152",25,1e+06,1000,4865332964255.32
"153",25,1e+06,5000,4989818998891.63
"154",25,1e+06,10000,4954625922922.1
"155",25,1e+06,20000,4982875588464.46
"156",25,5e+06,0,6116703085910.7
"157",25,5e+06,100,5287182224718.08
"158",25,5e+06,500,5030514558437.59
"159",25,5e+06,1000,5041120970116.36
"160",25,5e+06,5000,4863807694918.1
"161",25,5e+06,10000,4944391180097.9
"162",25,5e+06,20000,4955358192680.85
"163",25,1e+08,0,5508574340606.79
"164",25,1e+08,100,5035393799067.24
"165",25,1e+08,500,5262521509907.4
"166",25,1e+08,1000,5259024828649.8
"167",25,1e+08,5000,5084063419757.4
"168",25,1e+08,10000,5076670695291.87
"169",25,1e+08,20000,5059230920792.18
"170",30,0,0,6058259873557.18
"171",30,0,100,5222481816211.93
"172",30,0,500,5011877340625.07
"173",30,0,1000,5027824293710.35
"174",30,0,5000,4884424044443.42
"175",30,0,10000,4973348796130.99
"176",30,0,20000,4984375122798.23
"177",30,1e+05,0,6065101578321.12
"178",30,1e+05,100,5231504170357.31
"179",30,1e+05,500,5024670782322.31
"180",30,1e+05,1000,4956390339748.49
"181",30,1e+05,5000,4863903933874.68
"182",30,1e+05,10000,4871427893291.19
"183",30,1e+05,20000,4953199622101.39
"184",30,5e+05,0,6143241120745.54
"185",30,5e+05,100,5167170883503.86
"186",30,5e+05,500,5055580312615
"187",30,5e+05,1000,4995289166182.38
"188",30,5e+05,5000,4858286251345.95
"189",30,5e+05,10000,4930758219897.63
"190",30,5e+05,20000,4960024914546.65
"191",30,1e+06,0,6208451068431.65
"192",30,1e+06,100,5164384627591.09
"193",30,1e+06,500,5068746793391.25
"194",30,1e+06,1000,4964535895048.86
"195",30,1e+06,5000,4902825269685.29
"196",30,1e+06,10000,4921688885703.47
"197",30,1e+06,20000,5115064551361.78
"198",30,5e+06,0,5612105002689.29
"199",30,5e+06,100,5240279536826
"200",30,5e+06,500,4992554370395.3
"201",30,5e+06,1000,5099357519100.73
"202",30,5e+06,5000,4877925662689.61
"203",30,5e+06,10000,4913577585436.69
