"","lasso","ridge","RF","LGBM"
"1",2528351.26994497,2541084.26214329,2296524.87252671,2179230
"2",2599288.28895369,2594996.83112015,2272705.83624796,2176623
"3",2531933.35976812,2526868.87853109,2195415.13597127,2069264
"4",2555808.60389878,2550022.37470775,2293722.19580826,2149834
"5",2514641.57389431,2522047.9465152,2237270.37673182,2150425
"6",2687350.55646485,2686264.42956268,2382000.43986779,2239200
"7",2546004.59667557,2537696.99523239,2231773.11598317,2109444
"8",2643258.62637712,2662894.22777684,2382501.04424959,2260090
"9",2499312.72311812,2514665.62570096,2191682.46079444,2108125
"10",2649109.35286671,2643566.67023395,2400881.45997558,2263740
"11",2580891.66497858,2595063.49264425,2301440.09181968,2171272
"12",2556407.17028974,2554402.28411755,2254058.06124314,2141908
"13",2771993.24452958,2780883.55103673,2412753.859,2326023
"14",2605982.86251881,2575278.67627338,2277698.56054371,2237721
"15",2509304.57005619,2515990.96797708,2193349.87780721,2052719
"16",2529566.12048612,2541803.39976262,2213360.90207483,2207426
"17",2532692.54723609,2526335.51955396,2189194.36341642,2131037
"18",2453389.15263097,2444282.44142371,2160272.3602597,2100394
"19",2560766.04198547,2534557.65060478,2179973.35307394,2101231
"20",2437793.62713932,2458071.67594994,2181185.66173899,2138514
"21",2643136.45869941,2638015.93048088,2290202.19618286,2193174
"22",2551886.6615326,2561326.57870273,2282501.20605135,2211240
"23",2495132.49487259,2496724.901322,2178500.8981251,2085797
"24",2505508.28528751,2503471.6421453,2309480.73702593,2214575
"25",2696053.11350524,2683713.04745432,2476447.5035428,2277574
"26",2554090.56616324,2558370.92035724,2207122.27596788,2184087
"27",2533097.81140483,2515194.188341,2214916.53119228,2104084
"28",2411365.22974793,2413327.74655474,2123208.55225667,2086451
"29",2526576.89203953,2514130.56353164,2215089.54459507,2139963
"30",2552648.31527469,2546545.86405573,2271284.73684775,2146198
"31",2476163.62486941,2462989.27800951,2096536.13705284,2014272
"32",2764667.91740247,2743112.21939013,2441141.4665687,2276273
"33",2641598.93016951,2630814.61383755,2359758.25868842,2199279
"34",2719613.41836693,2730879.2059461,2382526.05890861,2263489
"35",2579890.99114228,2561182.25765933,2209109.73144616,2124517
"36",2609785.73549773,2605876.02744164,2308934.28292513,2107228
"37",2624230.17192192,2623203.95524018,2329240.37884491,2195675
"38",2692259.79245791,2687591.04887629,2378547.56168942,2281550
"39",2451068.26973054,2448359.92563029,2182987.2086551,2070918
"40",2486635.17980665,2491301.61803491,2163805.56563248,2120635
"41",2553103.29761821,2560072.52784711,2218802.9006316,2158063
"42",2537860.1199357,2547038.72520446,2205012.53233018,2121046
"43",2612329.19912329,2624007.93605111,2251981.85691708,2132499
"44",2503393.00044536,2497598.96668883,2179280.28436694,2123013
"45",2617626.06596902,2607893.3519724,2279010.71028913,2169067
"46",2566778.78522449,2581810.28118987,2199874.80723556,2185370
"47",2492072.35413306,2501473.75794239,2135526.2563052,2070702
"48",2630630.11760031,2618209.97160007,2375309.29996111,2277307
"49",2572452.12662501,2566194.18636918,2234250.70068733,2081539
"50",2506167.39568858,2505445.58652339,2107537.58162267,2019816
"51",2586021.68678041,2589896.96208587,2258941.99956719,2128057
"52",2609763.8776112,2624016.67660941,2220126.57335212,2119966
"53",2769385.3380791,2753582.99711922,2381229.31698255,2330525
"54",2532265.75500677,2533705.46057774,2228399.83356274,2107610
"55",2550415.09940208,2556902.46703543,2312299.54288008,2186961
"56",2596412.85958608,2595552.04184143,2235086.62355053,2171795
"57",2465512.06571522,2481572.69771275,2181037.47056137,2149131
"58",2514430.96050174,2525243.12519153,2210571.38526785,2162816
"59",2597542.35391768,2595892.33857366,2313219.19611793,2197426
"60",2496533.59506653,2491063.65385874,2173012.84754204,2208250
"61",2629201.61313073,2642316.96803633,2307749.23265004,2174608
"62",2697132.63809059,2664505.72397963,2313861.33244381,2232589
"63",2623053.84326039,2622108.24553543,2314492.44276531,2225204
"64",2504827.13883114,2511817.74170743,2152198.21121693,2117688
"65",2569780.18379825,2578440.06653868,2264516.75630836,2053724
"66",2499869.70310044,2490322.50957768,2179296.88229657,2096035
"67",2689013.18936324,2666292.47076369,2288586.30635615,2248272
"68",2540621.32967006,2524620.19171745,2249824.16382072,2169360
"69",2417593.02913691,2421074.56302895,2150746.93382545,2105921
"70",2648823.05650549,2666263.74887114,2319696.69713555,2354101
"71",2524218.89000616,2543096.69580464,2311568.85833677,2166952
"72",2689269.24104876,2694950.6065172,2449321.65117928,2228014
"73",2522508.18228213,2528731.24519398,2238819.70949716,2156969
"74",2642969.93846295,2649185.76304331,2302513.20890515,2157365
"75",2774665.37207033,2781510.34167044,2463196.27603527,2402690
"76",2623576.33695924,2634983.62472797,2295326.12519615,2266866
"77",2542929.71626474,2538204.72062381,2226634.40298966,2225518
"78",2492197.35778282,2502741.43698146,2197642.06647619,2169843
"79",2695306.46816805,2689656.20489554,2459756.69895461,2245092
"80",2598511.60596169,2606764.11550379,2249242.26283781,2155759
"81",2589339.04641671,2593008.3856107,2313977.59790694,2206426
"82",2685332.05646098,2675962.23220077,2360365.36027502,2269891
"83",2482228.46906735,2490289.77448431,2175336.24178324,2072555
"84",2748376.20787647,2740852.73217358,2402987.93746979,2312261
"85",2528341.84492294,2532482.37658016,2276352.28095514,2133243
"86",2585587.31233704,2574505.79921985,2241287.49983218,2190081
"87",2519752.40320409,2528703.3546955,2168025.20581536,2078440
"88",2586368.20351503,2591540.97744294,2220897.28640053,2122690
"89",2629153.37321357,2629359.54810334,2247302.41690028,2106802
"90",2687376.35868948,2671522.54486667,2377295.79748026,2280997
"91",2553890.64600088,2562853.54731582,2255585.14523419,2186509
"92",2581618.71914608,2589968.6903671,2344395.81053739,2199906
"93",2468849.9712511,2474601.30397999,2238690.5738802,2061343
"94",2658103.03773033,2647645.53311078,2304650.57090985,2174857
"95",2604385.77924739,2611505.34016132,2274196.23573669,2251739
"96",2584900.90544352,2584130.76431073,2257523.06975821,2130777
"97",2624710.96618683,2639779.26056403,2304263.60893731,2251437
"98",2652962.40822155,2648099.80089637,2254456.36368624,2154415
"99",2569171.72589068,2575208.47133339,2349980.38953247,2128159
"100",2545499.30663168,2558134.32742835,2183777.29909983,2136272
