"","mse","rmse","opt_para"
"1",7681419163203.21,2771537.32848815,30000
"2",6703247728451.33,2589063.09858438,10000
"3",7795244439121.26,2791996.49697511,30000
"4",6501161971347.73,2549737.62794287,50000
"5",7069057164246.67,2658769.85921058,50000
"6",6127009487253.81,2475279.67859267,50000
"7",6202338625394.38,2490449.48260236,10000
"8",6695663905504.43,2587598.09582254,40000
"9",5708708856321.57,2389290.45038931,50000
"10",7264456202255.65,2695265.51609589,40000
"11",6894140159979.79,2625669.4689126,20000
"12",6152690333204.5,2480461.71774621,50000
"13",6333219610401.2,2516588.88386665,20000
"14",6771382017193.85,2602187.92887713,10000
"15",7236634654155.95,2690099.37626028,40000
"16",7272965990114.87,2696843.708878,20000
"17",6288724086505.74,2507732.85788294,30000
"18",7042888180268.09,2653844.03842202,40000
"19",6793953539183.11,2606521.34830757,40000
"20",5960994956256.58,2441514.88962418,10000
"21",6750200057138.7,2598114.71208234,40000
"22",6485526165679.13,2546669.62240474,10000
"23",6801599283683.09,2607987.59270114,50000
"24",6686324286065,2585792.77709274,40000
"25",6386022947039.15,2527058.16059685,50000
"26",7672378320109.39,2769905.83235412,20000
"27",6789083401993.52,2605586.95920776,40000
"28",7607485441018.44,2758167.0437119,30000
"29",6285631536032,2507116.1792051,10000
"30",6163910382358.61,2482722.37319411,30000
"31",6746300910101.09,2597364.22361229,50000
"32",6705359184282.37,2589470.8309387,30000
"33",7870000091193.22,2805352.04407454,10000
"34",6576889813706.62,2564544.75759473,40000
"35",6214823995968.63,2492954.87242923,40000
"36",6524549877632.38,2554319.84638423,10000
"37",6341637733971.03,2518260.85502893,10000
"38",6702477128375.73,2588914.27598052,20000
"39",7128887917033.3,2669997.7372712,30000
"40",7086056090639.14,2661964.704995,20000
"41",6770674287982.14,2602051.93798705,10000
"42",6267402278219.01,2503478.03629651,20000
"43",6324382888568.54,2514832.57664771,10000
"44",7505617020629.66,2739638.11855319,20000
"45",5996634425995.4,2448802.6515004,10000
"46",6301239500279.4,2510226.98182443,20000
"47",5983653243954.72,2446150.69935495,30000
"48",6433777619101.95,2536489.23102424,50000
"49",6506714373900.77,2550826.21397475,10000
"50",5541257727481.87,2353987.62262716,20000
"51",6181359223116.21,2486233.94376237,10000
"52",6401222874684.28,2530063.8084215,40000
"53",6846635850813.42,2616607.69906637,50000
"54",7409649177776.21,2722067.07811843,50000
"55",7181031986124.42,2679744.76137643,30000
"56",6538066410150.65,2556964.29583024,40000
"57",6423812700488.21,2534524.15661958,50000
"58",6657450327404.5,2580203.54379349,20000
"59",7036652712869.07,2652668.97913574,50000
"60",7183146118449.62,2680139.19758837,40000
"61",6847930301167.99,2616855.04015182,10000
"62",7018537409239.89,2649252.23586579,10000
"63",7052200182264.37,2655597.89543981,40000
"64",6689268779223.47,2586362.07427024,20000
"65",6906181037310.01,2627961.38428821,40000
"66",6211514774181.69,2492291.06931387,30000
"67",7164484584555.51,2676655.48484588,10000
"68",6972678158410.97,2640582.92019224,10000
"69",6604267338780.91,2569876.91121207,10000
"70",7185252936085.37,2680532.21135008,40000
"71",7245962534278.2,2691832.56059477,30000
"72",6184161183471.22,2486797.37483198,30000
"73",6706856007662.77,2589759.83590424,40000
"74",6735877733837.8,2595356.95692092,20000
"75",6489949294751.1,2547537.88877636,20000
"76",6910370199554.5,2628758.29994971,40000
"77",6716364763441.79,2591595.02303925,40000
"78",6986359364696.72,2643172.2162388,30000
"79",6138633358166.83,2477626.55744703,10000
"80",6615782291188.72,2572116.30592178,40000
"81",6944582033892,2635257.48910652,10000
"82",6712164315844.9,2590784.49814818,40000
"83",7363223412313.87,2713526.010989,30000
"84",6503862925177.59,2550267.22622897,30000
"85",6530660119969.48,2555515.6270251,40000
"86",6263939287879.15,2502786.30487686,40000
"87",6947143059775.88,2635743.35999844,50000
"88",6549527021500.04,2559204.37274948,50000
"89",6697263620993.34,2587907.18940872,40000
"90",6882663981101.5,2623483.17720955,20000
"91",6578700418588.54,2564897.74037651,20000
"92",7190800215660.67,2681566.74644892,50000
"93",6800697166507.9,2607814.63423072,20000
"94",6344123434491.69,2518754.34183084,50000
"95",6984317521981,2642785.93949283,30000
"96",6384842935007.13,2526824.67437041,50000
"97",6819613308094.13,2611438.93439884,20000
"98",7323904872094.33,2706271.39660721,40000
"99",7168303914499.53,2677368.84169879,30000
"100",6774639938739.37,2602813.85018971,40000
