"","mse","rmse","opt_para"
"1",6947323229219.23,2635777.53788502,20000
"2",7321055503058.91,2705744.90724069,30000
"3",6932010273847.27,2632871.10847593,40000
"4",7157896751255.11,2675424.59270582,20000
"5",6975931948758.43,2641198.96046444,40000
"6",7985697214128.89,2825897.59441649,20000
"7",7037434693687.29,2652816.37014085,20000
"8",7607274328966.93,2758128.77309362,30000
"9",6721784725540.4,2592640.4929223,50000
"10",7700776368265.29,2775027.27342729,50000
"11",7241918814246.08,2691081.34664229,20000
"12",7123995329565.98,2669081.36435853,30000
"13",8345936368176.02,2888933.43090076,20000
"14",7559172610351.32,2749394.95350365,40000
"15",6822403856379.47,2611973.17298235,10000
"16",6890081474137.8,2624896.4692227,20000
"17",6953573340201.32,2636962.90080109,20000
"18",6633833429351.79,2575622.92064498,20000
"19",7216331649053.31,2686323.07235249,30000
"20",6365340858203.55,2522962.71439028,30000
"21",7656058931346.02,2766958.42602415,40000
"22",7093009008947.13,2663270.359717,40000
"23",6831542012689.72,2613721.86980362,50000
"24",6850872179543.13,2617417.08169392,40000
"25",7841320506535.63,2800235.79481008,40000
"26",7002626887543.11,2646247.69958202,30000
"27",6967552755036.91,2639612.23573405,50000
"28",6473872319930.54,2544380.53756323,40000
"29",6980463282245.38,2642056.63872775,20000
"30",7221909764077.71,2687361.11530954,30000
"31",6699750980139.54,2588387.71827938,50000
"32",8178750349895.92,2859851.45591444,30000
"33",7544913618098.43,2746800.61491518,50000
"34",8270839878425.35,2875906.79237442,40000
"35",7237420034995.72,2690245.34847581,50000
"36",7509434514082.66,2740334.74489571,10000
"37",7420071446658.03,2723980.80879033,10000
"38",7934116594908.34,2816756.39608901,50000
"39",6434820940625.28,2536694.88520501,10000
"40",6881647105368.91,2623289.36744861,20000
"41",7231722712856.12,2689186.25477227,40000
"42",7041856703262.46,2653649.69490369,40000
"43",7534016277790.55,2744816.25574291,40000
"44",6790172846757.4,2605796.01019677,50000
"45",7573468051249.86,2751993.46860596,40000
"46",7214315906590.51,2685947.85999105,10000
"47",6585877496301.56,2566296.45526419,10000
"48",7541771250743.98,2746228.55034755,40000
"49",7189133961851.13,2681256.04183023,30000
"50",7000314789618.01,2645810.80004183,20000
"51",7170885148636.83,2677850.84510636,20000
"52",7445491585293.92,2728642.81013362,20000
"53",8364337828831.34,2892116.49641423,30000
"54",6927359329970.23,2631987.71463133,10000
"55",7204945163108.63,2684202.89156923,20000
"56",7314755474611.66,2704580.46184832,40000
"57",6575962341122.98,2564363.92524988,50000
"58",6950653675027.27,2636409.23891327,10000
"59",7390648337852.2,2718574.6886654,40000
"60",6790534807820.41,2605865.46234076,30000
"61",7560255735120.44,2749591.92156226,20000
"62",7763974798965.97,2786390.99893859,50000
"63",7382947459289.6,2717157.97466574,20000
"64",6946910470332.95,2635699.23745729,40000
"65",7208649204903.19,2684892.77344612,30000
"66",6913918739222.57,2629433.15929928,30000
"67",7887565170364.62,2808480.93644315,50000
"68",7002753275748.19,2646271.58011951,20000
"69",6344191920813.88,2518767.9370704,50000
"70",7710136692561.99,2776713.28958573,40000
"71",6996996336086.93,2645183.61103477,50000
"72",7828050045203.94,2797865.26573456,50000
"73",7072493286419.13,2659415.96716631,40000
"74",7618448228045.23,2760153.66022351,10000
"75",8512972866847.52,2917699.92748527,40000
"76",7374016890819.82,2715514.11169594,20000
"77",7038813456709.74,2653076.22519779,50000
"78",6719432928439.31,2592186.90075375,20000
"79",7947714605070.11,2819169.13381764,40000
"80",7549054951389.17,2747554.35822281,10000
"81",7397743978617.27,2719879.40516069,20000
"82",7894029013704.37,2809631.47293455,40000
"83",6747619913572.97,2597618.12312221,20000
"84",8304043774412.47,2881673.78001266,50000
"85",7029573620746.97,2651334.30950285,40000
"86",7272630387879.34,2696781.48686158,40000
"87",6878934970942.99,2622772.38260261,20000
"88",7317672253320.27,2705119.63752442,50000
"89",7473235123955.05,2733721.84465703,10000
"90",7878975698591.95,2806951.31746027,50000
"91",7164593152362.69,2676675.76526607,50000
"92",7448649895280.47,2729221.48153653,40000
"93",6551746304073.7,2559637.92440917,10000
"94",7676286671782.93,2770611.24515565,50000
"95",7478471204135,2734679.36038853,30000
"96",7244277972639.42,2691519.64002483,30000
"97",7441185882672.57,2727853.7135764,50000
"98",7663103524693.96,2768231.11836674,30000
"99",7179887497034.33,2679531.20844567,30000
"100",7006379155943.15,2646956.58369063,30000
