"","mse","rmse","opt_para"
"1",6207201696489.95,2491425.63535217,20000
"2",6388193199633.65,2527487.52709754,30000
"3",6123840580468.44,2474639.48494896,40000
"4",6347139432361.26,2519352.97891368,20000
"5",6155420310807.44,2481011.95297553,10000
"6",7014290833252.9,2648450.64769063,30000
"7",6349082643533.33,2519738.60619179,20000
"8",6816260337587.54,2610796.87788758,30000
"9",6087202622027.08,2467225.69337041,30000
"10",6718675717381.17,2592040.84022246,50000
"11",6407974162477.92,2531397.66976228,50000
"12",6340699359688.65,2518074.53418056,40000
"13",7373683496235.36,2715452.72399196,20000
"14",6565821826587.33,2562385.96362596,40000
"15",6073483967401.16,2464443.94689779,20000
"16",6233742075517.51,2496746.29778789,20000
"17",6176471730913.47,2485250.83863047,50000
"18",5739094966906.9,2395640.82593925,20000
"19",6403373391280.37,2530488.76529424,30000
"20",5851020646893.43,2418888.30806497,30000
"21",6747396257694.69,2597575.0725811,40000
"22",6364602617229.13,2522816.40577136,50000
"23",6041125023342.73,2457870.01758489,30000
"24",6039188255451.48,2457475.99285354,40000
"25",7024969836703.68,2650465.96595838,40000
"26",6326384824728.76,2515230.57088784,10000
"27",6136260285480.82,2477147.61075734,40000
"28",5645069530213.35,2375935.50632448,40000
"29",6282551118958.49,2506501.76919117,30000
"30",6227704543515.45,2495536.92489521,10000
"31",5869450090720.19,2422694.79933404,10000
"32",7336116070215.83,2708526.5496605,40000
"33",6650016745606.38,2578762.63847729,50000
"34",7154232274744.32,2674739.66485419,10000
"35",6442405162312.31,2538189.34721433,50000
"36",6579729940691.34,2565098.42709619,40000
"37",6653532492454.21,2579444.22162105,20000
"38",6922993221799.47,2631158.15218308,50000
"39",5900253857513.78,2429043.81547838,30000
"40",6062039549014.67,2462120.94524511,20000
"41",6295325206280.29,2509048.66558628,30000
"42",6194297913955.34,2488834.64978197,50000
"43",6573821551872.61,2563946.4799158,40000
"44",6046707488105.42,2459005.38594478,50000
"45",6566217817406.08,2562463.23240082,40000
"46",6296436265265.92,2509270.06622761,40000
"47",6028521407738.34,2455304.74844536,10000
"48",6712671139073.75,2590882.30899702,30000
"49",6325927934208.88,2515139.74446926,30000
"50",6038029719197.9,2457240.26484955,10000
"51",6524755929447.54,2554360.1800544,20000
"52",6619024450017.54,2572746.47993492,20000
"53",7360776409360.67,2713075.08362018,40000
"54",6285471612744.84,2507084.28512981,10000
"55",6367291530227.61,2523349.26837876,20000
"56",6432224264149.77,2536183.01077619,40000
"57",5868239216785.08,2422444.88415838,40000
"58",6067754628218.17,2463281.27265608,10000
"59",6582793940766.57,2565695.60563341,50000
"60",6069178074072.96,2463570.18858261,40000
"61",6647090621671.75,2578195.22567081,20000
"62",6901362792683.56,2627044.4976596,50000
"63",6660606762654.17,2580815.13531174,50000
"64",6139184769909.52,2477737.83316749,10000
"65",6309573156067.06,2511886.37403587,10000
"66",5953445257661.96,2439968.29029845,30000
"67",6912529087072.48,2629168.89664253,50000
"68",6290729439327.29,2508132.65983426,50000
"69",5761015092938.96,2400211.46837918,40000
"70",6924503085060.65,2631445.05643964,40000
"71",6146675400335.36,2479248.95892594,50000
"72",6934953916750.62,2633430.06680463,40000
"73",6231388818336.09,2496274.98852512,40000
"74",6759688367264.78,2599940.06993715,10000
"75",7488548101473.62,2736521.16773717,20000
"76",6709209858837.95,2590214.24960136,30000
"77",6285585250778.43,2507106.94841254,50000
"78",5972605106412.51,2443891.3859688,40000
"79",7013026675716.4,2648211.97711142,20000
"80",6488567144953.21,2547266.60264551,10000
"81",6385815602229.56,2527017.13532567,20000
"82",6908893679949.88,2628477.44520471,40000
"83",6021490244860.53,2453872.49971561,30000
"84",7333750264847.73,2708089.78153379,40000
"85",6227833491442.67,2495562.7604696,30000
"86",6478457096062.75,2545281.33927524,40000
"87",6024426776958.74,2454470.77329487,10000
"88",6489792858125.5,2547507.18509791,50000
"89",6572921062501.24,2563770.86778465,20000
"90",6849944048335.83,2617239.77662266,40000
"91",6280301462659.42,2506052.96485518,50000
"92",6401585923621.34,2530135.55439651,10000
"93",5898401153516.2,2428662.42065796,10000
"94",6734740409493.62,2595137.8401722,50000
"95",6602528416392.35,2569538.56098568,10000
"96",6514398138378.05,2552331.90208054,10000
"97",6659034340489.87,2580510.48060066,30000
"98",6728389114879.92,2593913.86034308,30000
"99",6347849086667.32,2519493.81556441,30000
"100",6301177191373.1,2510214.57078336,30000
