"","mse","rmse","opt_para"
"1",6448550801751.43,2539399.69318566,20000
"2",6704577656756.1,2589319.9216698,50000
"3",6383878609542.09,2526633.84952036,40000
"4",6528109933672.1,2555016.6210168,20000
"5",6349652453261.74,2519851.67286921,30000
"6",7179308021098.01,2679423.07616733,30000
"7",6502282535650.07,2549957.35957488,20000
"8",6946526883871.24,2635626.46895785,30000
"9",6248763301511.42,2499752.64806569,20000
"10",6966858271838.94,2639480.682225,40000
"11",6638528486505.32,2576534.20053088,40000
"12",6511870227364.99,2551836.63806385,40000
"13",7589462266193.59,2754897.86855949,50000
"14",6810944557071.33,2609778.64139304,40000
"15",6357003649998.58,2521309.90756761,10000
"16",6414910307789.95,2532767.32207875,20000
"17",6418632547597.78,2533502.0322861,50000
"18",5991976635032.69,2447851.43238569,20000
"19",6538263630256.6,2557002.86082292,30000
"20",5921088084874.87,2433328.60191033,50000
"21",6937088148668.96,2633835.25465602,40000
"22",6538312717961.2,2557012.45948494,50000
"23",6202455959759.1,2490473.039356,30000
"24",6294570202471,2508898.20488417,40000
"25",7250920941720.25,2692753.41272094,40000
"26",6568334462635.33,2562876.20899554,10000
"27",6360096369112.8,2521923.14893075,50000
"28",5796501302954.5,2407592.42874588,40000
"29",6424764100825.64,2534711.83782805,20000
"30",6529153552344.2,2555220.84218648,30000
"31",6145370388385.97,2478985.75800386,50000
"32",7554752391949.21,2748590.98302189,40000
"33",6944865389814.51,2635311.25103175,50000
"34",7371869969973.32,2715118.77640248,10000
"35",6698234483402.84,2588094.75935539,50000
"36",6837437971961.29,2614849.51229727,50000
"37",6873640720583.03,2621762.90319759,10000
"38",7175455554124,2678704.08110414,50000
"39",6001592438043.42,2449814.77627257,30000
"40",6162612606042.04,2482460.9978894,20000
"41",6510867088810.97,2551640.07822635,10000
"42",6439397352190.99,2537596.76705953,40000
"43",6778502744554.15,2603555.78863871,40000
"44",6236657925796.26,2497330.15954965,50000
"45",6784522008017.55,2604711.50187838,30000
"46",6539930728065.97,2557328.82673816,50000
"47",6173149000299.31,2484582.25871057,50000
"48",6863032462097.42,2619739.00648469,30000
"49",6565733027519.9,2562368.63614896,30000
"50",6259050049923.5,2501809.35523143,10000
"51",6658963430907.36,2580496.74111543,20000
"52",6805016879786.12,2608642.7275091,20000
"53",7583332385803.19,2753785.10160165,30000
"54",6445328948248.83,2538765.24086983,10000
"55",6521539080953.42,2553730.42448756,10000
"56",6694908725745.29,2587452.16878405,20000
"57",6079688630434.65,2465702.46186247,40000
"58",6266315335935.07,2503260.9404405,10000
"59",6723596294577.61,2592989.83695995,50000
"60",6210238097449.37,2492034.93102512,30000
"61",6885678764604.75,2624057.69079202,50000
"62",7256548067913.07,2693798.0748217,50000
"63",6805551054031.98,2608745.11097424,20000
"64",6291655136613.35,2508317.1921855,10000
"65",6619132127337.15,2572767.40638114,30000
"66",6142723678418.48,2478451.87131372,30000
"67",7221795214215.69,2687339.80252139,50000
"68",6360017534542.24,2521907.51903044,20000
"69",5807809765221.28,2409939.78456336,10000
"70",7045088943909.49,2654258.64299421,40000
"71",6339955442931.26,2517926.81445098,50000
"72",7180601946708.93,2679664.52129906,50000
"73",6351261403452.2,2520170.90758786,40000
"74",6956542327322.09,2637525.79652258,10000
"75",7679218444082.2,2771140.2786727,40000
"76",6848534618760.74,2616970.50399135,30000
"77",6415000347872.07,2532785.09705661,40000
"78",6159396298366.88,2481813.1070584,40000
"79",7225952982823.73,2688113.27566822,20000
"80",6769105443837.81,2601750.45764151,10000
"81",6678500264410.83,2584279.44781729,20000
"82",7172394046316.24,2678132.56697951,40000
"83",6152228283872.24,2480368.57823031,30000
"84",7565512799175.89,2750547.72712198,20000
"85",6358580920798.81,2521622.67613511,30000
"86",6654140220135.62,2579562.02099031,40000
"87",6321922467365.3,2514343.34715156,10000
"88",6710899144563.97,2590540.31903848,50000
"89",6843173191534.54,2615945.94583576,20000
"90",7124196852826.23,2669119.11551849,40000
"91",6505647960570.57,2550617.17248406,50000
"92",6725166499240.97,2593292.598077,50000
"93",6093024452820.59,2468405.24485356,10000
"94",7014265722367.06,2648445.90701171,40000
"95",6795057760977.28,2606733.15875969,10000
"96",6694248428965.74,2587324.56969854,30000
"97",6883783806776.7,2623696.59198176,30000
"98",6997452916851.62,2645269.91379927,30000
"99",6584962002145.18,2566118.08032,30000
"100",6498119024340.73,2549140.84042854,30000
