"","mse","rmse","opt_para"
"1",6392560144232.35,2528351.26994497,20000
"2",6756299609091.82,2599288.28895369,50000
"3",6410686538306.68,2531933.35976812,40000
"4",6532157619763.02,2555808.60389878,20000
"5",6323422245157.63,2514641.57389431,10000
"6",7221853013331.96,2687350.55646485,30000
"7",6482139406293.14,2546004.59667557,20000
"8",6986816165917.05,2643258.62637712,30000
"9",6246564087940.14,2499312.72311812,40000
"10",7017780363445.86,2649109.35286671,40000
"11",6661001786355.91,2580891.66497858,50000
"12",6535217620308.8,2556407.17028974,40000
"13",7683946547717.65,2771993.24452958,50000
"14",6791146679741.75,2605982.86251881,40000
"15",6296609425304.86,2509304.57005619,10000
"16",6398704757911.18,2529566.12048612,20000
"17",6414531538825.23,2532692.54723609,50000
"18",6019118334247.3,2453389.15263097,30000
"19",6557522721785.94,2560766.04198547,30000
"20",5942837768521.06,2437793.62713932,30000
"21",6986170339306.08,2643136.45869941,40000
"22",6512125533307.98,2551886.6615326,10000
"23",6225686166969.1,2495132.49487259,30000
"24",6277571767644.34,2505508.28528751,40000
"25",7268702390841.29,2696053.11350524,40000
"26",6523378620164.08,2554090.56616324,10000
"27",6416584522143.96,2533097.81140483,50000
"28",5814682271237.3,2411365.22974793,40000
"29",6383590791388.14,2526576.89203953,20000
"30",6516013421474.71,2552648.31527469,20000
"31",6131386297126.42,2476163.62486941,50000
"32",7643388693514.53,2764667.91740247,50000
"33",6978044907872.68,2641598.93016951,50000
"34",7396297145361.48,2719613.41836693,10000
"35",6655837526177.07,2579890.99114228,40000
"36",6810981585207.45,2609785.73549773,40000
"37",6886583995225.36,2624230.17192192,20000
"38",7248262790085.5,2692259.79245791,50000
"39",6007735662879.86,2451068.26973054,30000
"40",6183354517452.07,2486635.17980665,20000
"41",6518336448308.98,2553103.29761821,10000
"42",6440733988360.02,2537860.1199357,40000
"43",6824263844592.12,2612329.19912329,40000
"44",6266976514678.82,2503393.00044536,50000
"45",6851966221240.45,2617626.06596902,40000
"46",6588353332278.48,2566778.78522449,10000
"47",6210424618234.29,2492072.35413306,50000
"48",6920214815625.81,2630630.11760031,30000
"49",6617509943777.56,2572452.12662501,30000
"50",6280875015212.49,2506167.39568858,10000
"51",6687508164498.58,2586021.68678041,20000
"52",6810867496884.27,2609763.8776112,20000
"53",7669495150767.47,2769385.3380791,40000
"54",6412369853980.02,2532265.75500677,10000
"55",6504617179258.14,2550415.09940208,20000
"56",6741359737423.94,2596412.85958608,40000
"57",6078749746187.33,2465512.06571522,40000
"58",6322363055129.7,2514430.96050174,10000
"59",6747226280396.19,2597542.35391768,50000
"60",6232679991295.83,2496533.59506653,40000
"61",6912701122489.23,2629201.61313073,20000
"62",7274524467453.49,2697132.63809059,50000
"63",6880411464643.13,2623053.84326039,50000
"64",6274158995425,2504827.13883114,10000
"65",6603770193042.16,2569780.18379825,10000
"66",6249348532479.49,2499869.70310044,50000
"67",7230791932569.45,2689013.18936324,50000
"68",6454756740774.44,2540621.32967006,50000
"69",5844756054531.39,2417593.02913691,40000
"70",7016263584675.08,2648823.05650549,40000
"71",6371681004663.91,2524218.89000616,50000
"72",7232169050851,2689269.24104876,40000
"73",6363047529680.28,2522508.18228213,40000
"74",6985290095618.83,2642969.93846295,10000
"75",7698767926966.15,2774665.37207033,30000
"76",6883152795852.44,2623576.33695924,30000
"77",6466491541862.29,2542929.71626474,50000
"78",6211047670139.65,2492197.35778282,40000
"79",7264676957348.51,2695306.46816805,20000
"80",6752262566317.61,2598511.60596169,20000
"81",6704676697298.2,2589339.04641671,20000
"82",7211008253456.93,2685332.05646098,40000
"83",6161458172648.43,2482228.46906735,30000
"84",7553571780021.43,2748376.20787647,20000
"85",6392512484788.35,2528341.84492294,30000
"86",6685261749718.29,2585587.31233704,40000
"87",6349152173452.8,2519752.40320409,10000
"88",6689300484153.56,2586368.20351503,50000
"89",6912447459880.3,2629153.37321357,20000
"90",7221991693243.14,2687376.35868948,50000
"91",6522357431730.8,2553890.64600088,50000
"92",6664755211045.43,2581618.71914608,10000
"93",6095220180546.53,2468849.9712511,10000
"94",7065511759191.23,2658103.03773033,50000
"95",6782825287146.03,2604385.77924739,10000
"96",6681712690962.74,2584900.90544352,30000
"97",6889107656021.42,2624710.96618683,30000
"98",7038209539436.68,2652962.40822155,30000
"99",6600643357116.11,2569171.72589068,30000
"100",6479566720062.34,2545499.30663168,30000
