"","X","MSE","MAE","L1","L2","nleaf"
"1",1,4224481743994.62,2055354.40836723,1e+07,5000,12
"2",2,4401409630061.88,2097953.67681507,1e+07,7500,12
"3",3,3995514444247.95,1998878.29650731,2e+06,5000,12
"4",4,4265476572025.1,2065303.02184089,5e+07,2500,12
"5",5,4494840815059.39,2120103.96326675,5e+06,2500,7
"6",6,4910077617027.34,2215869.49458386,5e+07,5000,12
"7",7,4279318389771.75,2068651.34562878,5e+06,7500,12
"8",8,4723189890588.65,2173290.10732315,5e+06,5000,12
"9",9,4128097796011.68,2031772.08269325,2e+06,2500,7
"10",10,4820976367282.22,2195672.19030579,5e+07,5000,12
"11",11,4381643823620.48,2093237.64145891,5e+07,5000,7
"12",12,4416129800008.11,2101458.96938487,2e+06,5000,7
"13",13,4953304017836.33,2225601.94505584,5e+06,5000,12
"14",14,4778651486497.5,2186012.69129379,5e+07,5000,12
"15",15,4039414420712.44,2009829.45065307,5e+06,2500,10
"16",16,4574857782735.81,2138891.71832887,1e+07,5000,10
"17",17,4528703592859.64,2128075.09098237,2e+06,2500,12
"18",18,4139778750881.49,2034644.62520645,1e+07,5000,10
"19",19,4388475902708.56,2094868.94642805,5e+06,2500,10
"20",20,4429597027963.63,2104660.78691166,1e+07,5000,12
"21",21,4715462607367.46,2171511.59503408,2e+06,7500,12
"22",22,4299906086084.05,2073621.49055319,2e+06,2500,12
"23",23,4122727843343.72,2030450.15780829,5e+06,5000,10
"24",24,4400363365993.49,2097704.30852241,5e+06,7500,10
"25",25,4913841722078.54,2216718.6835678,1e+07,7500,12
"26",26,4819181891387.58,2195263.51297232,5e+07,7500,7
"27",27,4168672053610.33,2041732.61070355,1e+07,2500,12
"28",28,4159880871410.78,2039578.60142991,2e+06,2500,10
"29",29,4331157783305.68,2081143.38364892,1e+07,2500,7
"30",30,4326839287253.68,2080105.59521715,1e+07,5000,12
"31",31,3602593277487.23,1898049.8616968,1e+07,5000,10
"32",32,4683209707251.36,2164072.48197729,5e+06,2500,12
"33",33,4448397640252.96,2109122.48109325,5e+07,7500,12
"34",34,4652669271679.09,2157004.69903964,1e+07,2500,10
"35",35,4352089452337.78,2086166.20918319,5e+06,7500,10
"36",36,4213825215951.02,2052760.38931752,5e+06,5000,10
"37",37,4620302515762.82,2149488.89640371,5e+06,7500,12
"38",38,4850375462779.72,2202356.79733773,5e+06,5000,12
"39",39,4129520190535.83,2032122.09046008,5e+07,2500,7
"40",40,4023080862729.43,2005761.91576404,2e+06,5000,12
"41",41,4749540133595.16,2179343.96862798,5e+07,2500,12
"42",42,4221989920610.61,2054748.14043245,2e+06,2500,10
"43",43,4181599005940.82,2044895.84232078,2e+06,2500,10
"44",44,4177433380994.62,2043877.04644742,5e+06,5000,7
"45",45,4267951620172.17,2065902.13228318,5e+06,2500,12
"46",46,4472069854921.63,2114726.89842486,2e+06,2500,10
"47",47,4367180240530.46,2089779.95026521,2e+06,5000,10
"48",48,4906396049644.09,2215038.61132128,5e+06,5000,12
"49",49,4116342358703.99,2028877.11769441,5e+07,5000,7
"50",50,4051845665305.68,2012919.68674999,5e+06,7500,7
"51",1,4335443279365.73,2082172.73043466,1e+07,2500,12
"52",2,4077937276574.42,2019390.32298722,2e+06,2500,12
"53",3,5250040854329.36,2291296.76260614,2e+06,5000,10
"54",4,4147042014909.08,2036428.74044467,2e+06,7500,7
"55",5,4952815930371.74,2225492.28944334,5e+06,2500,12
"56",6,4384848053372.92,2094002.87807179,1e+07,5000,12
"57",7,4499837895826.17,2121282.13489535,5e+07,5000,12
"58",8,4451818596856.86,2109933.31573698,1e+07,5000,10
"59",9,4712859215743.71,2170912.07001659,1e+07,2500,7
"60",10,4465662246513.02,2113211.35869392,1e+07,2500,12
"61",11,4792069165276.81,2189079.52465798,1e+07,2500,7
"62",12,4529416672424.77,2128242.625366,1e+07,7500,12
"63",13,5009867525095.27,2238273.33565301,5e+06,2500,7
"64",14,4169077888405.55,2041831.99318787,1e+07,2500,12
"65",15,4086262904562.34,2021450.69308216,2e+06,5000,10
"66",16,4265363212116.14,2065275.57776587,2e+06,2500,7
"67",17,4587720698847.64,2141896.51917352,1e+07,2500,10
"68",18,4617958019677.41,2148943.46591003,1e+07,5000,7
"69",19,4143942525842.9,2035667.58726539,1e+07,5000,12
"70",20,4972528803845.35,2229916.77060947,2e+06,2500,12
"71",21,4427876246077.91,2104251.94453466,1e+07,5000,10
"72",22,4611036751595.36,2147332.47346454,5e+06,2500,10
"73",23,4387569233058.79,2094652.53277454,2e+06,7500,10
"74",24,4512041851728.23,2124156.7389739,2e+06,7500,12
"75",25,5242980603540.77,2289755.57724853,5e+06,7500,7
"76",26,5014592102217.86,2239328.49359308,1e+07,5000,7
"77",27,4331480395526.73,2081220.89061366,2e+06,5000,10
"78",28,4408292380849.19,2099593.38464599,5e+06,7500,7
"79",29,4779255583006.16,2186150.86007489,5e+06,7500,7
"80",30,4411593450508.3,2100379.35871316,5e+06,2500,10
"81",31,4767827448700.5,2183535.53868502,5e+06,2500,10
"82",32,5025922104181.68,2241856.84292768,5e+06,5000,10
"83",33,4085384341483.29,2021233.37135604,2e+06,5000,12
"84",34,4859813058999.98,2204498.36901731,5e+06,2500,12
"85",35,4332703033305.08,2081514.60079075,1e+07,2500,10
"86",36,4214614304648.38,2052952.58217241,1e+07,2500,10
"87",37,4020663116743.81,2005159.12504315,2e+06,5000,12
"88",38,4314805937755.97,2077211.0960988,2e+06,2500,12
"89",39,4311848258884.85,2076499.03898,5e+06,7500,12
"90",40,4859541460252.81,2204436.76712507,5e+06,2500,10
"91",41,4476348038564.6,2115738.17816964,5e+06,5000,12
"92",42,4429942077832.85,2104742.75811389,5e+06,5000,12
"93",43,3947186783312.05,1986752.82390942,5e+06,5000,12
"94",44,4797357973277.1,2190287.18968018,1e+07,5000,12
"95",45,4816669223080.69,2194691.14525955,5e+06,2500,12
"96",46,4529114102293.07,2128171.53967745,2e+06,7500,7
"97",47,4686639910446.13,2164864.87117467,5e+06,5000,12
"98",48,4364640264220.48,2089172.14805781,5e+06,5000,10
"99",49,4264515005066.41,2065070.21795057,5e+07,2500,12
"100",50,4360815172577.74,2088256.49108957,5e+06,2500,10
