"","X","MSE","MAE","L1","L2","nleaf"
"1",1,4255379104858.08,2062857.02482215,2e+06,2500,10
"2",2,4280526450388.63,2068943.31734551,5e+07,2500,10
"3",3,3897892235324.67,1974308.03962418,5e+06,2500,12
"4",4,3887258607762.93,1971613.19932763,5e+06,2500,10
"5",5,4189882260445.31,2046920.1890756,5e+06,7500,7
"6",6,4799042568911.43,2190671.71637181,5e+06,5000,12
"7",7,4212929867959.21,2052542.29382958,5e+06,7500,12
"8",8,4572686527367.91,2138384.09257269,1e+07,2500,12
"9",9,3837987079822.06,1959078.11988753,5e+07,7500,12
"10",10,4433146806228.25,2105503.93165823,1e+07,5000,7
"11",11,4203189686590.19,2050168.20934044,5e+06,2500,10
"12",12,4002260908954.67,2000565.14739077,1e+07,2500,10
"13",13,4694163977817.63,2166601.9426322,2e+06,5000,12
"14",14,4524667962742.16,2127126.69174691,5e+06,2500,12
"15",15,3863378232969.58,1965547.82006686,5e+06,2500,7
"16",16,4384646871698.84,2093954.83993778,5e+07,7500,10
"17",17,4061569398787.18,2015333.57010376,5e+06,5000,7
"18",18,3831221862371.97,1957350.72543782,5e+06,2500,7
"19",19,4373361476708.04,2091258.34767205,5e+06,7500,7
"20",20,4155213433776.44,2038434.06412286,2e+06,5000,12
"21",21,4439449826703.3,2107000.19618018,2e+06,5000,12
"22",22,4022042274754.21,2005502.99794197,2e+06,2500,10
"23",23,3891799287396.54,1972764.3770599,1e+07,2500,12
"24",24,4121615267681.19,2030176.1666617,1e+07,5000,10
"25",25,4677212903864.1,2162686.50152168,2e+06,2500,12
"26",1,4483689793299.85,2117472.50119095,5e+07,2500,7
"27",2,3900332998376.05,1974926.07415469,5e+06,2500,7
"28",3,4033045193733.06,2008244.30628673,5e+06,5000,10
"29",4,4250021150587.91,2061557.94257351,1e+07,2500,10
"30",5,4035324062708.68,2008811.60458334,5e+06,7500,7
"31",6,3457221151829.68,1859360.41472052,2e+06,5000,10
"32",7,4532160874825.71,2128887.23863565,5e+06,2500,7
"33",8,4208799108316.68,2051535.79259946,5e+06,2500,7
"34",9,4489712274368.25,2118894.11589354,5e+06,2500,10
"35",10,4116845968776.71,2029001.22443943,5e+06,7500,10
"36",11,4187291112486.18,2046287.1529886,5e+06,7500,12
"37",12,4490189374759.73,2119006.69530791,5e+06,5000,12
"38",13,4630249525936.95,2151801.46062246,5e+06,2500,12
"39",14,3926437431357.13,1981524.01735561,1e+07,5000,10
"40",15,3975904188190.43,1993966.94761734,5e+06,5000,10
"41",16,4367880464110.18,2089947.47879227,1e+07,5000,12
"42",17,3846762054911.16,1961316.40866821,1e+07,5000,12
"43",18,4034048405254.11,2008494.06403258,1e+07,5000,10
"44",19,3960702217449.64,1990151.30516492,2e+06,5000,12
"45",20,4032713724048.89,2008161.7773598,5e+07,5000,10
"46",21,4012636073479.93,2003156.52745359,1e+07,2500,7
"47",22,3960917172038.28,1990205.30901671,5e+06,5000,10
"48",23,4775296565131.05,2185245.19565449,2e+06,7500,7
"49",24,3979730498440.22,1994926.18871983,5e+07,7500,7
"50",25,3784121417833.07,1945281.8350648,2e+06,7500,12
"51",1,4035683094407.67,2008900.96679943,1e+07,2500,12
"52",2,4188310551438.26,2046536.23262288,2e+06,5000,12
"53",3,4974054824374.4,2230258.91420131,5e+06,7500,10
"54",4,3929310121472.65,1982248.7536817,1e+07,7500,7
"55",5,4805256912111.38,2192089.62228085,5e+06,2500,10
"56",6,4037574753518.36,2009371.7310439,1e+07,2500,12
"57",7,4172854877993.66,2042756.68595006,1e+07,2500,7
"58",8,4202763995528.08,2050064.38814201,1e+07,7500,7
"59",9,4530466887601.54,2128489.34401879,1e+07,7500,10
"60",10,4246345798218.43,2060666.34810646,2e+06,7500,12
"61",11,4595056820860.98,2143608.36461817,2e+06,5000,12
"62",12,4309084552791.96,2075833.45979198,5e+07,7500,12
"63",13,4647155665117.73,2155726.25004144,5e+06,2500,7
"64",14,3992843031582.77,1998209.95683206,2e+06,7500,7
"65",15,3745255738774.31,1935266.322441,2e+06,5000,12
"66",16,3886677889006.98,1971465.92387669,5e+06,7500,12
"67",17,4371488140731.4,2090810.40286569,5e+07,2500,10
"68",18,4425680670223.41,2103730.17999538,1e+07,2500,7
"69",19,3946298439870.14,1986529.24465514,2e+06,5000,12
"70",20,4803790805815.6,2191755.18838569,5e+06,2500,12
"71",21,4109239025753.03,2027125.80412589,5e+06,7500,10
"72",22,4357122999437.11,2087372.27140659,2e+06,5000,12
"73",23,4218206219337.25,2053827.21262945,5e+06,5000,12
"74",24,4367431728379.52,2089840.12029139,5e+06,5000,12
"75",25,5162954383361.48,2272213.54264107,1e+07,7500,7
"76",1,4749270949355.69,2179282.20966347,1e+07,2500,7
"77",2,4242206036438.97,2059661.63154023,1e+07,5000,7
"78",3,4224581502279.12,2055378.67612737,1e+07,2500,12
"79",4,4508272159845.89,2123269.21511284,5e+06,2500,10
"80",5,4202777390242.89,2050067.65504041,2e+06,5000,10
"81",6,4257703514630.47,2063420.34366013,5e+06,2500,7
"82",7,4736664043701.18,2176387.84312474,1e+07,5000,12
"83",8,3831139147527.49,1957329.59603831,2e+06,5000,7
"84",9,4549911543398.1,2133052.16612208,2e+06,5000,10
"85",10,4084653718776.67,2021052.62642433,5e+06,5000,12
"86",11,4145818460171.86,2036128.30150063,2e+06,7500,7
"87",12,3841352125417.65,1959936.76566813,2e+06,5000,12
"88",13,4108029760169.23,2026827.51120297,5e+06,5000,10
"89",14,4099445212815.06,2024708.67356641,5e+06,7500,10
"90",15,4536364032277.61,2129874.18226467,5e+06,2500,12
"91",16,4256847242556.04,2063212.84470508,2e+06,2500,10
"92",17,4141411381856.9,2035045.79355279,1e+07,7500,12
"93",18,3657034899366.16,1912337.54849037,5e+07,7500,12
"94",19,4554414079758.49,2134107.32620421,1e+07,5000,10
"95",20,4357249392098,2087402.54673074,5e+06,7500,12
"96",21,4353025273942.42,2086390.48932419,1e+07,7500,7
"97",22,4373434470150.02,2091275.79963763,2e+06,5000,7
"98",23,4223530307594.2,2055122.9422091,2e+06,5000,7
"99",24,4106424870124.52,2026431.56068112,1e+07,7500,12
"100",25,4103313130708.77,2025663.62723646,2e+06,2500,10
