"","X","MSE","MAE","L1","L2","nleaf"
"1",1,4749045481325.68,2179230.47916591,2e+06,2500,10
"2",2,4737685827225.51,2176622.57344389,5e+06,7500,12
"3",3,4281853290295.65,2069263.94891895,2e+06,5000,10
"4",4,4621786786943.78,2149834.13010022,5e+06,7500,12
"5",5,4624327702946.03,2150425.00518991,2e+06,5000,12
"6",6,5014014597099.74,2239199.54383251,5e+06,2500,10
"7",7,4449752753352.9,2109443.7070832,2e+06,7500,12
"8",8,5108007258909.77,2260090.0997327,5e+06,2500,12
"9",9,4444189324396.17,2108124.59887839,1e+07,7500,12
"10",10,5124516584665.22,2263739.5134302,2e+06,5000,12
"11",11,4714420320265.68,2171271.59062741,5e+06,5000,12
"12",12,4587770487763.33,2141908.14176597,2e+06,7500,12
"13",13,5410381585648.94,2326022.69671836,5e+06,5000,12
"14",14,5007395180090.98,2237720.97905234,2e+06,5000,12
"15",15,4213655945027.24,2052719.15882988,5e+06,2500,12
"16",16,4872727640233.52,2207425.56844699,2e+06,2500,12
"17",17,4541317577877.36,2131036.73780565,2e+06,2500,10
"18",18,4411656732205.78,2100394.42300864,5e+06,5000,12
"19",19,4415169648396.11,2101230.50815376,5e+06,5000,10
"20",20,4573240816368.58,2138513.69328526,5e+06,2500,12
"21",21,4810011444179.35,2193173.82899289,2e+06,2500,10
"22",22,4889582020644.23,2211239.92833076,5e+06,2500,10
"23",23,4350549907405.32,2085797.18750537,1e+07,7500,12
"24",24,4904343784370.24,2214575.30564446,5e+06,2500,12
"25",25,5187342028867.48,2277573.71535313,2e+06,5000,12
"26",26,4770234010904.48,2184086.53924346,2e+06,2500,10
"27",27,4427168564093.02,2104083.7825745,1e+07,7500,12
"28",28,4353275756917.47,2086450.51628776,5e+06,2500,12
"29",29,4579442424643.81,2139963.18301129,5e+06,5000,12
"30",30,4606166312167.14,2146198.10645875,2e+06,2500,12
"31",31,4057291919908.77,2014272.05707391,2e+06,2500,12
"32",32,5181416593424.77,2276272.52178309,1e+07,2500,10
"33",33,4836826728249.88,2199278.68362558,5e+06,2500,12
"34",34,5123381817907.81,2263488.85968273,5e+06,7500,12
"35",35,4513573374633.67,2124517.20977583,5e+06,2500,12
"36",36,4440409169810.58,2107227.8400331,2e+06,2500,12
"37",37,4820987972301.24,2195674.83300721,2e+06,7500,12
"38",38,5205469719118.22,2281549.85023738,2e+06,5000,10
"39",39,4288701646102.01,2070918.06841845,1e+07,5000,10
"40",40,4497093622465.58,2120635.19315925,2e+06,2500,10
"41",41,4657236753664.87,2158063.19501188,5e+06,2500,12
"42",42,4498834677819.25,2121045.65670314,5e+06,2500,12
"43",43,4547553032744.79,2132499.24566101,2e+06,2500,12
"44",44,4507184639300.86,2123013.10389288,2e+06,2500,10
"45",45,4704849622235.02,2169066.5324593,5e+06,7500,12
"46",46,4775840987520.14,2185369.75990795,1e+07,2500,10
"47",47,4287805394876.55,2070701.66728009,5e+06,2500,12
"48",48,5186128896624.86,2277307.37859975,1e+07,2500,10
"49",49,4332802573303.13,2081538.5111266,2e+06,7500,12
"50",50,4079657847243.37,2019816.29046886,1e+07,2500,12
"51",1,4528626518588.4,2128056.98198812,1e+07,5000,10
"52",2,4494253873349.07,2119965.5358871,2e+06,7500,10
"53",3,5431345849222.42,2330524.80124594,5e+06,2500,12
"54",4,4442018428539.95,2107609.6480468,5e+06,2500,10
"55",5,4782799460258.06,2186961.23885588,2e+06,2500,10
"56",6,4716694532071.81,2171795.23253731,2e+06,7500,12
"57",7,4618764690254.9,2149131.14775597,5e+06,5000,12
"58",8,4677774192090.32,2162816.26406182,1e+07,7500,12
"59",9,4828681834533.6,2197426.18409211,1e+07,5000,12
"60",10,4876367505178.73,2208249.87380929,5e+06,7500,10
"61",11,4728919414949.1,2174607.87613517,2e+06,2500,12
"62",12,4984454325443.75,2232589.15285454,2e+06,2500,10
"63",13,4951534193573.1,2225204.30378271,5e+06,7500,10
"64",14,4484603680772.36,2117688.28697057,1e+07,2500,12
"65",15,4217782026481.91,2053723.94115711,5e+06,7500,12
"66",16,4393363751233.37,2096035.24570399,5e+06,5000,12
"67",17,5054727644535.93,2248272.14645735,2e+06,2500,7
"68",18,4706122299921.89,2169359.882528,2e+06,7500,12
"69",19,4434902052869.53,2105920.71381368,2e+06,5000,12
"70",20,5541789412024.99,2354100.55265806,2e+06,2500,12
"71",21,4695680284030.95,2166951.84165014,2e+06,5000,10
"72",22,4964046859216.6,2228014.1066018,2e+06,2500,10
"73",23,4652517295325.04,2156969.47018845,2e+06,5000,10
"74",24,4654221770170.72,2157364.54271658,1e+07,5000,12
"75",25,5772920597394.84,2402690.28328556,5e+07,5000,10
"76",26,5138679777181.66,2266865.62839125,2e+06,2500,12
"77",27,4952928149204.37,2225517.50143745,2e+06,5000,12
"78",28,4708217661204.54,2169842.77338349,2e+06,2500,10
"79",29,5040437301201.46,2245091.82467031,1e+07,5000,10
"80",30,4647296746635.57,2155758.9722962,2e+06,2500,12
"81",31,4868317739811.4,2206426.46372169,1e+07,2500,10
"82",32,5152404147177.2,2269890.77868897,1e+07,5000,12
"83",33,4295486002712.96,2072555.42814009,5e+06,7500,12
"84",34,5346551400152.47,2312261.10120645,2e+06,2500,12
"85",35,4550725424438.55,2133242.93610422,2e+06,5000,12
"86",36,4796455181671.75,2190081.0902046,5e+06,5000,12
"87",37,4319914028821.23,2078440.28752842,1e+07,7500,12
"88",38,4505814684478.61,2122690.43538586,5e+06,7500,12
"89",39,4438614956323.37,2106802.06861569,2e+06,2500,12
"90",40,5202949198845.97,2280997.41316074,5e+06,5000,12
"91",41,4780823715817.93,2186509.48221542,5e+06,2500,12
"92",42,4839587436419.79,2199906.23355174,5e+06,5000,12
"93",43,4249135714695.59,2061343.18217409,5e+06,5000,12
"94",44,4730001432953.03,2174856.64652938,1e+07,5000,12
"95",45,5070329717619.59,2251739.26501706,5e+06,2500,12
"96",46,4540212697083.94,2130777.4865255,5e+06,2500,12
"97",47,5068969505774.06,2251437.20893434,1e+07,2500,12
"98",48,4641502615233.63,2154414.68042567,5e+06,2500,12
"99",49,4529061208088.21,2128159.11249329,2e+06,5000,12
"100",50,4563659808534.94,2136272.40972095,1e+07,2500,12
