"","mse","rmse","ntree_opt_para","mtry_opt_para"
"1",4085980375839.36,1114505.61606289,600,44
"2",4322090837015.24,1129854.05855084,800,44
"3",3562839555527.92,1081849.76043221,400,44
"4",3886222994441.73,1087259.04329184,800,44
"5",4193387947790.77,1093785.91293897,600,44
"6",4623426520611.08,1127022.66358652,800,44
"7",4213678736554.06,1083736.69040894,800,44
"8",4832968057514.29,1162483.9001858,600,44
"9",3860793628713.78,1072338.28035307,400,44
"10",4414244510111.74,1105038.09094868,600,44
"11",4042731246825.47,1099845.62519244,800,44
"12",3912989593144.65,1101102.54177905,800,44
"13",4566753561180.1,1179756.73476267,800,44
"14",4204341326123.85,1126982.42189927,800,44
"15",3922226086792.46,1092757.20038756,800,44
"16",4109496058930.1,1143463.83986661,800,44
"17",3958631117023.17,1112188.00262286,600,44
"18",3718259689759.5,1084078.30340945,400,44
"19",4221912901158.61,1086681.76623762,800,44
"20",4226535112532.79,1116314.74787723,400,44
"21",4420350448557.01,1147546.03085427,400,44
"22",4071991111153.38,1109840.90272527,800,44
"23",3838919303986.24,1087238.57322281,600,44
"24",3869109312538.85,1110053.10467283,400,44
"25",4733783869058.7,1165033.75182245,800,44
"26",3958037553277.65,1084394.99698638,400,44
"27",3764821917910.25,1071861.43850117,800,44
"28",3872987602035.61,1075501.65143229,600,44
"29",4271614592033.37,1105254.67559174,600,44
"30",3808423571014.32,1082852.37735016,400,44
"31",3347521986352.06,1033204.49697072,400,44
"32",4535364609678.48,1158552.12314185,400,44
"33",4135689882398.88,1096358.68617669,400,44
"34",4400601750993.69,1169005.97695048,800,44
"35",3975549294794.45,1112705.79397498,800,44
"36",4319993351945.96,1127978.93591196,600,44
"37",4461963460951.18,1146453.83478131,600,44
"38",4444315763585.95,1130528.26904591,800,44
"39",3718131235303.23,1073891.5447078,800,44
"40",4031139816589.86,1096249.63874544,600,44
"41",4140599530725.93,1108154.20806451,800,44
"42",3859594440160.17,1051325.4888016,800,44
"43",3943013026303.29,1123678.88410716,400,44
"44",3970511965085.66,1093177.46098239,600,44
"45",4011874887224.64,1116952.40552121,800,44
"46",3983483589759.14,1105878.63512836,800,44
"47",3832183948963.3,1076042.39024165,400,44
"48",4638617083506.11,1173674.02698518,800,44
"49",3838546523593.87,1076800.61158324,600,44
"50",3680777408960.14,1045378.27018685,400,44
"51",4214695795421.67,1142593.47249199,600,44
"52",4233493758533.57,1137514.3863754,600,44
"53",4861602664421.33,1139802.98873152,800,44
"54",3668490305417.48,1060458.92702302,800,44
"55",4604882025332.93,1180951.15747445,400,44
"56",4043221336388.87,1093899.63386216,600,44
"57",3597465085633.56,1067013.76072281,600,44
"58",3954018261150.27,1115418.24469391,400,33
"59",4458435672503.13,1125774.97471968,800,44
"60",4015367738305.57,1097622.77349012,800,44
"61",4387504679377.54,1150601.2315986,800,44
"62",4228605690573.88,1087590.66191097,600,44
"63",4483755390716.11,1118357.73886806,800,44
"64",3811077839505.7,1081903.35608633,800,44
"65",3677671961755.29,1043031.67265308,600,44
"66",3815341710669.03,1057407.4192272,800,44
"67",4253933008939.81,1118098.39470259,400,44
"68",4231810586333.85,1126360.81688907,800,44
"69",3820502746627.63,1087231.15911966,800,44
"70",4741185326339.24,1156971.14760588,400,44
"71",4039456190030.28,1103201.05348713,800,44
"72",4472857936203.81,1160377.7498302,800,44
"73",3904093077780.21,1104821.93375208,400,44
"74",4259234112780.13,1147207.02958295,600,44
"75",4995281292026.01,1203018.30603682,600,44
"76",4469829861062.4,1133430.64267163,400,44
"77",4134932850779.15,1132342.95675832,400,44
"78",4065232879901.47,1112614.47718493,800,44
"79",4445308499814.84,1133325.80048587,800,44
"80",4057665438748.53,1097564.56779001,800,44
"81",4313795743528.8,1141241.8407736,600,44
"82",4711544148256.84,1155811.33504217,600,44
"83",3928138029916.28,1114841.05474317,800,44
"84",4498804083205.44,1147800.53679273,600,44
"85",4231748426568.27,1099092.30059013,600,44
"86",3935019766433.74,1082407.86767844,400,44
"87",3642478709818.25,1052549.2625327,400,44
"88",3933411294991.11,1095637.05315185,800,44
"89",3902718527961.75,1121175.7987927,400,44
"90",4514778589790.15,1152228.91028519,800,44
"91",4134160524624.06,1072091.29111829,600,44
"92",4100200442772.47,1076755.21731251,400,44
"93",3728093254979.81,1077356.65443157,800,44
"94",4284565777407.74,1160471.30891112,800,44
"95",4386720860233.04,1128733.35838896,800,44
"96",4196781139000.41,1139149.96700278,600,44
"97",4229575879359.77,1147300.10536434,800,44
"98",4113774820192.43,1110496.65482818,600,44
"99",3872081601979.13,1091613.2839435,600,44
"100",3900271351220.91,1101731.26212375,800,44
