"","mse","rmse","ntree_opt_para","mtry_opt_para"
"1",4298894349515.42,1124252.65654923,500,85
"2",4500297939269.34,1165898.71223631,900,85
"3",3835247899830.02,1100047.83924897,500,85
"4",4153621181978.23,1101550.47255526,500,85
"5",4581325147437.63,1132569.37172081,500,85
"6",4894184920072.7,1163261.85357882,900,85
"7",4306493062456.3,1103279.55107849,600,85
"8",4934251480027,1167075.33306593,600,85
"9",4178583850173.05,1105390.56601242,500,68
"10",4800217999392.29,1153156.28602283,600,85
"11",4445578739340.71,1126369.60593573,900,68
"12",4317072779222.33,1135347.76223524,500,85
"13",5030966639209.97,1222609.31404104,500,85
"14",4464231798225.51,1159996.50674451,600,68
"15",4204288414842.41,1126785.58666081,900,85
"16",4297920208069.43,1178221.28015789,500,85
"17",4302311265628.44,1159757.50305305,600,68
"18",4128750442119.83,1138826.80779482,600,85
"19",4441398604522.23,1108718.63293591,500,68
"20",4439356558104.49,1131735.77160103,900,85
"21",4837370755731.14,1184074.67882206,900,85
"22",4440684762794.49,1151138.23046782,900,85
"23",4056095768231.78,1115231.63222319,900,85
"24",4194525125450.69,1123308.37232596,600,68
"25",5036202007615.75,1182493.68721252,500,68
"26",4426521659096.35,1141962.3403357,900,85
"27",4190464295823.69,1110798.29737479,500,68
"28",4050060237543.74,1109490.58430254,900,85
"29",4409021748978.31,1125166.31989421,900,85
"30",4295527009371.94,1129201.89100564,600,85
"31",3565266693243.3,1064927.15228849,600,85
"32",4871474593199.54,1193642.47232902,500,85
"33",4505393089088.41,1133273.42174391,600,51
"34",4735047670547.69,1204017.80085955,500,68
"35",4190674880060.8,1147204.56323975,500,85
"36",4537201235072.96,1142887.26868838,900,85
"37",4785345034996.83,1162606.8697634,900,85
"38",4744735916733.54,1163168.63396278,500,68
"39",3953682698231.71,1092691.72269524,900,85
"40",4329795495732.07,1126894.17150555,500,85
"41",4550073744821.85,1146430.58554856,600,85
"42",4287596089025.15,1096064.81289826,900,85
"43",4222626628898.66,1147129.71886167,600,85
"44",3991967859037.1,1115532.0530643,600,85
"45",4393487358599.19,1145143.08476513,500,85
"46",4275127298695.37,1148339.3464208,600,68
"47",4162199558623.32,1117010.54142473,600,85
"48",4879741640668.25,1193308.64326377,900,68
"49",4051967125216.99,1098676.14811619,900,85
"50",4009346641903.83,1092219.51450429,900,85
"51",4205220296569.94,1141278.12562496,900,51
"52",4388572694046.11,1159720.67311729,500,85
"53",5020150024838.88,1154877.58003511,900,85
"54",3881578456651.62,1097542.22416174,600,85
"55",5001613551413.89,1205684.14394985,500,85
"56",4461602147603.44,1143331.67188438,500,85
"57",3887602187231.07,1108161.3616844,900,85
"58",4302657948403.67,1146645.92043536,500,85
"59",4653232073827.27,1154756.68961585,500,68
"60",4379595254904.43,1135082.61817115,500,85
"61",4753974688200.34,1178180.83181539,500,85
"62",4466057068029.59,1111801.13914943,900,85
"63",4797693288899.33,1156529.54236763,600,85
"64",4120278317209.01,1104277.40870072,600,85
"65",4085589931927.49,1097793.03545114,900,85
"66",4111839243474.93,1093019.27326306,500,85
"67",4536331521780.93,1166344.33879576,900,85
"68",4378918212367.77,1146131.35216472,900,85
"69",4062710685269.33,1112945.43856454,600,85
"70",4927361785008.55,1182766.17049578,500,85
"71",4407555012134.36,1148547.77417548,500,85
"72",4721063400322.93,1177625.51188356,600,85
"73",4097104827107.4,1129438.41635769,900,85
"74",4591871579585.81,1179682.14851404,600,85
"75",5221908741299.22,1218488.55155451,600,85
"76",4804696890782,1170738.01606146,600,85
"77",4241180577567.16,1157192.66752544,900,68
"78",4266163434328.04,1130451.08736987,900,85
"79",4616747352171.65,1145843.60950576,500,85
"80",4415981333220.21,1134775.79294481,900,85
"81",4747515311441.25,1187402.84588387,900,85
"82",5125699252801.2,1189239.46709399,500,85
"83",4378095631804.93,1157039.65949701,600,85
"84",4868362692130.07,1183483.90125247,900,68
"85",4462475398815.13,1116621.79716842,900,85
"86",4087982208469.82,1105324.53288743,600,85
"87",3877595370082.85,1075096.34078767,900,85
"88",4079709561010.36,1112956.24103835,500,85
"89",4216555059638.17,1151279.17526539,500,85
"90",4940012686792.85,1177701.01367832,900,85
"91",4542373133300.85,1118952.78790445,500,68
"92",4397588015627.55,1121080.67172548,900,68
"93",3909607841861.22,1093001.08530283,600,85
"94",4585674672975.44,1193502.72860179,600,85
"95",4823841011968.73,1165663.3553,900,85
"96",4343955355411.89,1154008.47537213,500,85
"97",4555836955390.74,1191933.78206794,900,85
"98",4301040311259.74,1123788.06986709,500,85
"99",3992136655499.55,1099277.4666144,900,68
"100",4275772511633.58,1147632.22490742,900,85
