"","mse","rmse","ntree_opt_para","mtry_opt_para"
"1",5274026490133.84,2296524.87252671,1000,44
"2",5165191818115.54,2272705.83624796,600,44
"3",4819847619251.76,2195415.13597127,600,33
"4",5261161511543.45,2293722.19580826,1000,33
"5",5005378738601.75,2237270.37673182,600,44
"6",5673926095530.33,2382000.43986779,1000,33
"7",4980811241225.23,2231773.11598317,600,33
"8",5676311225850.37,2382501.04424959,600,44
"9",4803472008953.98,2191682.46079444,1000,44
"10",5764231784854.46,2400881.45997558,600,33
"11",5296626496235,2301440.09181968,1000,33
"12",5080777743455.2,2254058.06124314,600,44
"13",5821381184119.37,2412753.859,600,44
"14",5187910732702.87,2277698.56054371,200,33
"15",4810783686476.9,2193349.87780721,600,44
"16",4898966482833.49,2213360.90207483,600,44
"17",4792571960814.2,2189194.36341642,1000,44
"18",4666776670502.02,2160272.3602597,1000,44
"19",4752283820112.42,2179973.35307394,1000,44
"20",4757570890975.74,2181185.66173899,1000,44
"21",5245026099400.79,2290202.19618286,600,44
"22",5209811755625.89,2282501.20605135,1000,44
"23",4745866163131.87,2178500.8981251,1000,44
"24",5333701274693.82,2309480.73702593,1000,22
"25",6132792237803.35,2476447.5035428,600,22
"26",4871388741073.64,2207122.27596788,600,44
"27",4905855240148.83,2214916.53119228,1000,44
"28",4508014556375.86,2123208.55225667,600,44
"29",4906621690574.39,2215089.54459507,600,44
"30",5158734355837.57,2271284.73684775,1000,44
"31",4395463773968.44,2096536.13705284,1000,44
"32",5959171659801.17,2441141.4665687,200,33
"33",5568459039448.19,2359758.25868842,1000,33
"34",5676430421378.6,2382526.05890861,600,44
"35",4880165805570.11,2209109.73144616,600,44
"36",5331177522867.01,2308934.28292513,600,22
"37",5425360742441.57,2329240.37884491,200,44
"38",5657488503218.69,2378547.56168942,200,44
"39",4765433153151.78,2182987.2086551,1000,33
"40",4682054525862.08,2163805.56563248,1000,44
"41",4923086311851.22,2218802.9006316,200,44
"42",4862080267733.14,2205012.53233018,600,44
"43",5071422283883.68,2251981.85691708,1000,44
"44",4749262557830.45,2179280.28436694,600,44
"45",5193889817612.56,2279010.71028913,1000,44
"46",4839449167509.68,2199874.80723556,1000,44
"47",4560472391368.9,2135526.2563052,1000,44
"48",5642094270481.73,2375309.29996111,600,33
"49",4991876193521.83,2234250.70068733,1000,44
"50",4441714657951.94,2107537.58162267,600,44
"51",5102818957408.6,2258941.99956719,600,33
"52",4928962001704.24,2220126.57335212,200,44
"53",5670253060057.18,2381229.31698255,200,44
"54",4965765818222.46,2228399.83356274,600,33
"55",5346729176003.45,2312299.54288008,1000,33
"56",4995612214774.51,2235086.62355053,1000,44
"57",4756924447992.72,2181037.47056137,600,44
"58",4886625849365,2210571.38526785,600,33
"59",5350983049288.5,2313219.19611793,600,44
"60",4721984835582.75,2173012.84754204,600,44
"61",5325706520796.86,2307749.23265004,600,33
"62",5353954265778.63,2313861.33244381,1000,44
"63",5356875267617.75,2314492.44276531,600,44
"64",4631957140365.33,2152198.21121693,600,44
"65",5128036139601.32,2264516.75630836,1000,33
"66",4749334901187.55,2179296.88229657,600,44
"67",5237627281640.89,2288586.30635615,1000,44
"68",5061708768111.59,2249824.16382072,1000,44
"69",4625712373359.59,2150746.93382545,1000,44
"70",5380992766701.59,2319696.69713555,600,44
"71",5343350586832.35,2311568.85833677,600,33
"72",5999176550935.61,2449321.65117928,600,33
"73",5012313691632.94,2238819.70949716,600,44
"74",5301567077182.71,2302513.20890515,1000,44
"75",6067335894274.01,2463196.27603527,200,44
"76",5268522021007.96,2295326.12519615,1000,44
"77",4957900764577.1,2226634.40298966,600,33
"78",4829630652345.74,2197642.06647619,1000,44
"79",6050403018052.1,2459756.69895461,600,22
"80",5059090756935.77,2249242.26283781,1000,44
"81",5354492323615.2,2313977.59790694,600,44
"82",5571324633986.21,2360365.36027502,1000,44
"83",4732087764815.63,2175336.24178324,1000,44
"84",5774351027625.34,2402987.93746979,1000,44
"85",5181779707009.69,2276352.28095514,200,33
"86",5023369656903.97,2241287.49983218,600,44
"87",4700333293050.75,2168025.20581536,200,44
"88",4932384756741.25,2220897.28640053,1000,44
"89",5050368153005.85,2247302.41690028,600,33
"90",5651535308717.3,2377295.79748026,1000,44
"91",5087664347401.16,2255585.14523419,1000,44
"92",5496191716465.25,2344395.81053739,1000,33
"93",5011735485580.04,2238690.5738802,600,33
"94",5311414253995.11,2304650.57090985,1000,33
"95",5171968518638.92,2274196.23573669,600,44
"96",5096410410490.53,2257523.06975821,600,44
"97",5309630779472.82,2304263.60893731,1000,44
"98",5082573495765.38,2254456.36368624,600,44
"99",5522407831187.2,2349980.38953247,200,22
"100",4768883292063.76,2183777.29909983,600,44
