"","mse","rmse","opt_para"
"1",7491831979988.82,2737121.11167716,30000
"2",6713633758232.81,2591068.0728674,10000
"3",7605499522183.47,2757807.01322327,30000
"4",6415031073426.72,2532791.1626162,50000
"5",6753072134314.47,2598667.37662104,50000
"6",6170785956524.71,2484106.67172823,40000
"7",6278812977367.81,2505755.96923719,10000
"8",6462286935015.79,2542102.85689147,10000
"9",5721978926001.75,2392065.82810795,50000
"10",7252517085127.4,2693049.77397882,40000
"11",6963761981606.94,2638894.08305959,30000
"12",6122521894219.58,2474373.03053108,50000
"13",6395005553661.86,2528834.82134794,50000
"14",6779136640438.31,2603677.52235915,10000
"15",7051900935473.17,2655541.55220233,10000
"16",7256455169458.98,2693780.83174169,20000
"17",6229271021366.2,2495850.76103644,30000
"18",6823228303707.05,2612130.98900248,10000
"19",6640997189897.7,2577013.23044677,30000
"20",5962259114137.89,2441773.76391383,50000
"21",6686828477171.2,2585890.26781323,40000
"22",6538676290145.98,2557083.55165528,40000
"23",6700412688491.96,2588515.53761842,50000
"24",6822820833836.82,2612052.99215709,20000
"25",6345368388170.5,2519001.46648836,50000
"26",7545319059385.34,2746874.41638407,20000
"27",6824139533386.96,2612305.40584116,40000
"28",7527000944104.38,2743538.03401819,30000
"29",6284102073758.62,2506811.13643581,10000
"30",6158257243224.81,2481583.61600507,20000
"31",6563172244443.74,2561868.89681024,50000
"32",6737845459103.06,2595736.01491043,30000
"33",7842814949966.85,2800502.62452418,10000
"34",6450243467103.63,2539732.95192696,50000
"35",6177417772709.02,2485441.16259247,40000
"36",6544059987861.7,2558136.03779426,10000
"37",6383135379781.37,2526486.76619953,10000
"38",6649812884466.5,2578723.1112445,20000
"39",7004814385944,2646660.98810256,50000
"40",7144993267747.73,2673012.02162424,20000
"41",6793522821100.59,2606438.72383384,20000
"42",6250539282837.04,2500107.8542409,50000
"43",6360959772472.84,2522094.32267567,20000
"44",7485856961450.22,2736029.41531158,20000
"45",6034938735261.59,2456611.22997954,30000
"46",6295181649910.01,2509020.05769384,50000
"47",6006147232781.65,2450744.22018734,20000
"48",6218012348770.07,2493594.26306087,50000
"49",6556148615888.81,2560497.72815537,10000
"50",5528319355009.3,2351237.83463292,20000
"51",6249780469338.47,2499956.09348214,10000
"52",6353614587246.8,2520637.73423449,40000
"53",6807632408662.46,2609143.99921937,50000
"54",7178200521750.35,2679216.40069449,20000
"55",7137375284937.03,2671586.66057028,30000
"56",6514674354012.85,2552386.0119529,20000
"57",6303384285965.93,2510654.15498948,50000
"58",6586672668288.32,2566451.3765681,20000
"59",6863897374424.66,2619904.07733273,10000
"60",6917274943241.64,2630071.28101914,30000
"61",6916618137511.4,2629946.41342963,10000
"62",7054613504041.39,2656052.24045789,10000
"63",7048277580383.35,2654859.23927868,40000
"64",6616107344025.5,2572179.49296419,50000
"65",6840188560780.85,2615375.41488423,40000
"66",6197080781249.96,2489393.65734911,50000
"67",7221077163688.44,2687206.20044098,10000
"68",6936591844190.37,2633741.03590128,30000
"69",6620389934375.14,2573011.84108724,10000
"70",7149597719203.28,2673873.16812209,10000
"71",7176073147534.78,2678819.35701808,40000
"72",6223390184890.97,2494672.36022909,30000
"73",6644332958641.43,2577660.36526177,40000
"74",6701546392535.58,2588734.51565346,50000
"75",6552071968780.13,2559701.53900413,20000
"76",6779389253736.83,2603726.03277242,40000
"77",6636458878502.27,2576132.54288328,40000
"78",6869594461717.9,2620991.12202195,30000
"79",6217729124158.86,2493537.47197808,10000
"80",6512703281042.53,2551999.85913842,40000
"81",7002614903932.63,2646245.43531635,30000
"82",6585720383209.46,2566265.84421986,40000
"83",7277040458818.19,2697599.01742609,50000
"84",6507411175407.55,2550962.79381091,40000
"85",6553021415429.33,2559886.99270677,40000
"86",6386207662956.1,2527094.70795143,30000
"87",6870547784302.19,2621172.97870671,50000
"88",6493554429554.12,2548245.36290251,10000
"89",6586734625405.48,2566463.44712047,40000
"90",6920540483515.17,2630692.01608915,40000
"91",6571683621080.82,2563529.52412895,20000
"92",7088368907084.94,2662399.08862006,50000
"93",6789184823754.43,2605606.42149854,30000
"94",6081607055688.54,2466091.45322888,50000
"95",7014464638600.09,2648483.46013338,30000
"96",6257726311118.95,2501544.78495168,50000
"97",6981728343595.29,2642296.03632812,10000
"98",7321802555825.36,2705882.95309043,30000
"99",7135729549624.08,2671278.63571438,50000
"100",6847764659843.39,2616823.39103031,40000
