"","mse","rmse","opt_para"
"1",6940525609765.99,2634487.73194448,10000
"2",7279542394007.77,2698062.71128152,30000
"3",6900599074386.74,2626899.13669839,40000
"4",7137440702831.16,2671598.90380857,20000
"5",6913404650000.5,2629335.40081909,30000
"6",7963325727640.13,2821936.52083815,20000
"7",6993092160776.82,2644445.5299319,20000
"8",7639584431224.12,2763979.81744153,30000
"9",6733025532649.73,2594807.41725657,50000
"10",7584131173438.78,2753930.13227256,50000
"11",7265460345005.92,2695451.78866288,20000
"12",7118173708672.17,2667990.57507184,30000
"13",8406389202784.21,2899377.38191913,50000
"14",7406016761015.5,2721399.77971181,40000
"15",6824936136915.73,2612457.87275426,20000
"16",6920214847452.96,2630630.12364965,20000
"17",6929119576804.51,2632322.08834795,50000
"18",6621222262461.54,2573173.57798916,30000
"19",7120799726074.19,2668482.66362632,30000
"20",6377066193847.2,2525285.36879443,50000
"21",7584306950729.21,2753962.0459856,40000
"22",7055292705070.81,2656180.09650528,10000
"23",6782438822262.96,2604311.58317567,50000
"24",6821570294760.27,2611813.60260649,40000
"25",7764844632366.28,2786547.08059388,40000
"26",6983430479387.15,2642618.11077332,30000
"27",6866177082769.42,2620339.1159866,50000
"28",6422816390880.57,2534327.60133345,40000
"29",6940506511031.45,2634484.10718901,50000
"30",7119859324872.3,2668306.45257855,20000
"31",6593929427510.49,2567864.76036229,50000
"32",8139622353105.31,2853002.34018574,30000
"33",7417139559502.47,2723442.59339213,50000
"34",8083833689052.99,2843208.34429224,30000
"35",7072066472065.1,2659335.72007468,50000
"36",7523359500230.25,2742874.3136043,10000
"37",7443403125396.83,2728260.09122973,50000
"38",7859039559642.55,2803397.85967717,50000
"39",6433533382346.18,2536441.08592062,30000
"40",6893993967832.67,2625641.6297417,20000
"41",7168401171823.74,2677387.0044922,30000
"42",7023523050121.37,2650193.02129512,50000
"43",7455021539869.75,2730388.53276777,40000
"44",6658095240279.48,2580328.51402287,10000
"45",7469643811627.68,2733064.91171133,40000
"46",7247385813242.82,2692096.91750554,40000
"47",6618162669366.46,2572578.99186137,10000
"48",7393371672664.98,2719075.51801434,40000
"49",7152917264130.13,2674493.83325708,30000
"50",6971602475013.34,2640379.22939364,20000
"51",7178055511165.27,2679189.33843155,20000
"52",7491135583239.36,2736993.89536027,20000
"53",8274256469541.11,2876500.73345047,30000
"54",6916763688601.83,2629974.08515784,10000
"55",7182103108575.84,2679944.60923651,10000
"56",7295838262586.46,2701080.94336072,30000
"57",6576895458217.4,2564545.85808431,10000
"58",7007505639697.57,2647169.36362175,10000
"59",7332403387475.97,2707841.09346837,40000
"60",6772068972922.44,2602319.92132452,30000
"61",7565961542443.48,2750629.29935015,20000
"62",7591363845170.46,2755242.97389004,50000
"63",7429274382702.79,2725669.52925383,20000
"64",6917163417629.57,2630050.07892047,10000
"65",7161338832831.88,2676067.79301868,40000
"66",6896680048276.99,2626153.08926898,30000
"67",7789016898276.84,2790881.02546075,50000
"68",6977864753185.12,2641564.83039601,50000
"69",6260574236198.44,2502113.95347982,50000
"70",7685013854795.5,2772185.75402073,10000
"71",7030073259175.72,2651428.53178729,50000
"72",7756014031345.67,2784962.12386195,50000
"73",7046233777301.45,2654474.29396132,40000
"74",7594799040600.62,2755866.29584975,10000
"75",8489417638925.17,2913660.52225121,40000
"76",7396780962810.51,2719702.36658545,10000
"77",6961100662641.25,2638389.78595681,50000
"78",6745212796818.75,2597154.75026398,20000
"79",7729699232520.07,2780233.66509365,20000
"80",7550358504599.27,2747791.56862366,20000
"81",7374100500539.04,2715529.50647549,20000
"82",7809840546142.95,2794609.19381279,40000
"83",6764805543915.76,2600923.97888054,20000
"84",8179299682026.56,2859947.49637586,20000
"85",7005117744460.25,2646718.29714842,30000
"86",7187066761817.44,2680870.52313562,40000
"87",6880963550656.44,2623159.07841222,20000
"88",7203543819704.98,2683941.84357727,50000
"89",7484465217075.65,2735775.06697383,20000
"90",7816885107076.39,2795869.29363237,50000
"91",7135607162757.45,2671255.72769764,50000
"92",7409595794078.83,2722057.27237302,50000
"93",6531278983825,2555636.7081072,10000
"94",7503768317512.52,2739300.69862958,20000
"95",7447825688545.55,2729070.48068487,30000
"96",7174355346398.3,2678498.71129301,10000
"97",7441713988006.29,2727950.51054932,30000
"98",7612048882318.42,2758994.1794644,50000
"99",7196514588991.03,2682632.02638585,30000
"100",6968068962444.12,2639710.01483953,50000
