"","mse","rmse","opt_para"
"1",6277851489550.79,2505564.10605492,20000
"2",6469173525474.21,2543457.00287506,30000
"3",6138628446404.05,2477625.56622345,40000
"4",6328990854475.68,2515748.56741998,20000
"5",6200271750916.68,2490034.48789704,30000
"6",7022277661229.95,2649958.04895662,40000
"7",6309381494536.68,2511848.22283049,20000
"8",6932053344551.37,2632879.28788074,10000
"9",6180966270055.23,2486154.91674498,20000
"10",6689854087709.02,2586475.22464628,50000
"11",6526649065886.93,2554730.72277431,20000
"12",6333173292590.39,2516579.68135134,40000
"13",7482428539943.52,2735402.81127726,50000
"14",6427567781293.82,2535264.83454763,40000
"15",6112195209000.81,2472285.42223603,20000
"16",6297707482281.27,2509523.3575883,20000
"17",6181604318585.96,2486283.2337821,50000
"18",5717819672974.48,2391196.28491148,30000
"19",6308193515952.47,2511611.73670463,30000
"20",5944908274375.15,2438218.25814982,30000
"21",6722155791848.49,2592712.05340055,40000
"22",6376464185411.4,2525166.16986118,20000
"23",6024133273315.89,2454410.9829684,30000
"24",6063763168578.93,2462470.94776343,40000
"25",6963860920390.38,2638912.82925192,40000
"26",6351391422094.49,2520196.70305603,10000
"27",6124457147402.67,2474764.05893626,40000
"28",5671574539924.44,2381506.77931524,40000
"29",6194151508280.61,2488805.2371129,10000
"30",6228941213942.3,2495784.68901913,20000
"31",5915982658411.52,2432279.31340369,10000
"32",7292901412352.7,2700537.2451334,30000
"33",6626245754206.17,2574149.52056134,50000
"34",7202107255046.51,2683674.20806746,30000
"35",6349561764512.11,2519833.67794625,50000
"36",6573150732040.88,2563815.65874789,30000
"37",6626509418432.97,2574200.73390421,10000
"38",6914615771371.13,2629565.70014349,50000
"39",5879177627397.87,2424701.55429444,30000
"40",6076461595180,2465047.99044157,20000
"41",6307980536036.24,2511569.33729416,30000
"42",6226545101086.83,2495304.61088157,40000
"43",6641253489072.99,2577062.95791799,40000
"44",6020865367481.53,2453745.17166749,30000
"45",6529220018923.22,2555233.84818752,40000
"46",6418304903658.93,2533437.36919998,20000
"47",6086707995697.33,2467125.45195767,10000
"48",6650799570827.04,2578914.41711954,30000
"49",6276472396517.77,2505288.88484298,30000
"50",6047189951240.47,2459103.48526459,30000
"51",6556673914800.12,2560600.30360072,20000
"52",6690710605599.83,2586640.7956266,40000
"53",7279250397889.35,2698008.59855734,30000
"54",6303689510042.44,2510714.94002056,40000
"55",6375951123516.37,2525064.57808833,20000
"56",6451630180516.95,2540005.94103969,50000
"57",5990321954367.01,2447513.42271437,10000
"58",6110397040357.65,2471921.73022482,20000
"59",6595674657778.73,2568204.55917723,40000
"60",6069183592732.8,2463571.30863566,30000
"61",6720795980883.28,2592449.80296307,40000
"62",6728392732497.75,2593914.55767104,30000
"63",6717878042731.43,2591886.96565484,20000
"64",6184593435183.9,2486884.28262835,30000
"65",6345537438570.68,2519035.02130691,40000
"66",5947218727840.79,2438692.01168183,30000
"67",6856182465121.75,2618431.29853005,50000
"68",6211930653139.73,2492374.50098089,20000
"69",5792903279592.39,2406845.08840773,40000
"70",7027577434320.43,2650957.83337277,10000
"71",6221254724085.54,2494244.31924492,50000
"72",6984405934599.07,2642802.66660208,40000
"73",6284842608379.66,2506958.83659458,40000
"74",6772849377734.62,2602469.86106172,30000
"75",7553511654493.19,2748365.26948169,20000
"76",6774858267647.8,2602855.79078976,30000
"77",6264262180371.65,2502850.81065006,50000
"78",6048529161295.67,2459375.76659112,40000
"79",6997483702004.97,2645275.73269876,20000
"80",6517474422077.72,2552934.4727348,10000
"81",6398462543744.46,2529518.24341009,20000
"82",6890957106789.05,2625063.25767381,40000
"83",6103879184401.59,2470603.0001604,40000
"84",7192097790083.7,2681808.67887396,10000
"85",6258712991088.8,2501741.99131102,30000
"86",6417437517101.21,2533266.17573069,40000
"87",6065701252450.29,2462864.4405347,10000
"88",6529265988710.58,2555242.84339289,50000
"89",6566037928489.42,2562428.13138035,20000
"90",6832134098831.11,2613835.1322972,10000
"91",6318308978635.89,2513624.6694039,50000
"92",6452316543117.9,2540141.04787862,10000
"93",5922695675528.61,2433658.90698114,30000
"94",6687443234796.38,2586009.13277513,50000
"95",6652007082075.24,2579148.51880911,40000
"96",6551437592385.13,2559577.61991801,30000
"97",6748445297669.59,2597776.99151979,30000
"98",6724362921456.09,2593137.65956536,50000
"99",6387002149593.92,2527251.89674356,40000
"100",6351448333612.49,2520207.99411725,50000
