"","mse","rmse","opt_para"
"1",6544012905349.79,2558126.83527416,20000
"2",6708332551613.93,2590044.89374488,50000
"3",6384920728460.08,2526840.06784365,40000
"4",6532231484509.18,2555823.05422523,20000
"5",6353889868498.79,2520692.33912011,30000
"6",7178162690508.23,2679209.34055333,40000
"7",6449055689613.16,2539499.10210915,20000
"8",7058678079613.17,2656817.2838216,30000
"9",6339978811039.33,2517931.45479366,20000
"10",6926373441585.68,2631800.41826611,30000
"11",6732593535184.31,2594724.17323775,40000
"12",6513905604591.1,2552235.41323897,50000
"13",7663198729532.29,2768248.31428329,50000
"14",6670626704586.47,2582755.6416716,40000
"15",6395929686879.72,2529017.53392097,20000
"16",6508654759838.65,2551206.53022029,20000
"17",6404433457194.68,2530698.21535376,50000
"18",5962908840502.4,2441906.80422132,30000
"19",6415461180634.33,2532876.06894501,30000
"20",6058727087801.29,2461448.16882284,50000
"21",6915644690464.92,2629761.33716825,20000
"22",6543927414795.37,2558110.12561918,20000
"23",6194960914759.5,2488967.84124655,40000
"24",6323273297004.15,2514611.9575402,40000
"25",7146014667882.12,2673203.07269802,20000
"26",6609483129028.93,2570891.50471756,10000
"27",6324692775521.24,2514894.18773857,10000
"28",5832333890344.56,2415022.54447957,40000
"29",6381710754626.52,2526204.81248582,10000
"30",6475695254034.39,2544738.73983841,20000
"31",6133717071362.85,2476634.22235962,50000
"32",7518832654109.31,2742048.98827671,50000
"33",6932549008030.52,2632973.41574702,50000
"34",7410867566137.17,2722290.86729122,10000
"35",6622373954212.48,2573397.35645556,50000
"36",6783791172793.61,2604571.20708834,30000
"37",6884981396363.05,2623924.80768086,40000
"38",7147820147229.45,2673540.75099473,50000
"39",6001628395221.24,2449822.11501595,30000
"40",6169234147827.36,2483794.30465314,10000
"41",6562309119177.04,2561700.43509717,30000
"42",6485765137357.39,2546716.54044132,40000
"43",6812256369697.06,2610029.95570876,40000
"44",6164316119064.5,2482804.08390684,30000
"45",6747757680493.76,2597644.64091872,30000
"46",6681744373254.31,2584907.033774,20000
"47",6221553353539.41,2494304.18223989,50000
"48",6801897158756.71,2608044.70029881,30000
"49",6552151362424.29,2559717.04733634,40000
"50",6258441151516.93,2501687.66066368,30000
"51",6688725976102.79,2586257.13650108,20000
"52",6902975182746.49,2627351.36263624,20000
"53",7517604987451.53,2741825.11977907,30000
"54",6477312509537.23,2545056.48454749,40000
"55",6571592680923.72,2563511.78677293,20000
"56",6733206629602.94,2594842.31305159,50000
"57",6213220891215.19,2492633.32466193,10000
"58",6310089140114.39,2511989.08041305,20000
"59",6708263599909.69,2590031.58280159,40000
"60",6203910604737.82,2490765.06413949,40000
"61",6931288868359.33,2632734.10513848,10000
"62",7093600334199.59,2663381.3722784,30000
"63",6859666635946.22,2619096.53047501,20000
"64",6337009433842.92,2517341.73958224,30000
"65",6659959363282.85,2580689.70689675,10000
"66",6121921286871.2,2474251.66199221,30000
"67",7132584677242.75,2670689.92532693,10000
"68",6380253927885.81,2525916.45306922,20000
"69",5846658931822.62,2417986.54500446,40000
"70",7149159509148.96,2673791.22392698,10000
"71",6431948767009.14,2536128.69685455,50000
"72",7183466738382.89,2680199.01096596,40000
"73",6405904712314.69,2530988.88032221,40000
"74",6973391581884.11,2640718.00499109,30000
"75",7748778629083.73,2783662.80807926,20000
"76",6899316935370.81,2626655.08496468,30000
"77",6450933451924.49,2539868.78635974,40000
"78",6196789579193.39,2489335.16811083,40000
"79",7177470180741.56,2679080.09972482,20000
"80",6810704524174.95,2609732.65377413,10000
"81",6703071211399.51,2589029.00937775,20000
"82",7159620844587.28,2675746.7825987,40000
"83",6230446545311.67,2496086.24556758,20000
"84",7516210983409.9,2741570.89702417,20000
"85",6377760911149.52,2525422.91728525,30000
"86",6588738373601.61,2566853.78890221,40000
"87",6365123075870.5,2522919.55398314,10000
"88",6758749764563.36,2599759.55899067,50000
"89",6827151114593.06,2612881.76437302,20000
"90",7122928622619.84,2668881.53027066,10000
"91",6597944955268.44,2568646.52205562,50000
"92",6725756469234.5,2593406.34479722,10000
"93",6125135457008.09,2474901.10044989,20000
"94",6972811698782.69,2640608.20622498,50000
"95",6840067291872.9,2615352.2309381,40000
"96",6738401145805.03,2595843.0510732,30000
"97",6955699724105.77,2637366.05804082,30000
"98",6984775706902.6,2642872.62404048,50000
"99",6614502345668.07,2571867.4821359,40000
"100",6536459861605.53,2556650.12498886,50000
