"","mse","rmse","opt_para"
"1",6457109227312.33,2541084.26214329,20000
"2",6734008553523.59,2594996.83112015,10000
"3",6385066329288.99,2526868.87853109,40000
"4",6502614111510.17,2550022.37470775,20000
"5",6360725844521.52,2522047.9465152,30000
"6",7216016585533.74,2686264.42956268,40000
"7",6439906039611.5,2537696.99523239,20000
"8",7091005668327.23,2662894.22777684,30000
"9",6323543209081.99,2514665.62570096,20000
"10",6988444739971.83,2643566.67023395,50000
"11",6734354530854.95,2595063.49264425,50000
"12",6524971029104.98,2554402.28411755,50000
"13",7733313324426.67,2780883.55103673,50000
"14",6632060260468.36,2575278.67627338,40000
"15",6330210550942.24,2515990.96797708,20000
"16",6460764523044.81,2541803.39976262,20000
"17",6382371157359.95,2526335.51955396,50000
"18",5974516653452.26,2444282.44142371,30000
"19",6423982484239.25,2534557.65060478,30000
"20",6042116364107.36,2458071.67594994,50000
"21",6959128049470.92,2638015.93048088,40000
"22",6560393842769.01,2561326.57870273,20000
"23",6233635232881.37,2496724.901322,30000
"24",6267370263025.67,2503471.6421453,40000
"25",7202315721076.55,2683713.04745432,40000
"26",6545261766129.57,2558370.92035724,10000
"27",6326201805064.32,2515194.188341,10000
"28",5824150812290.96,2413327.74655474,40000
"29",6320852490483.95,2514130.56353164,10000
"30",6484895837739.36,2546545.86405573,20000
"31",6066316183589.8,2462989.27800951,10000
"32",7524664648167.45,2743112.21939013,50000
"33",6921185532381.21,2630814.61383755,50000
"34",7457701237468.81,2730879.2059461,40000
"35",6559654556948.94,2561182.25765933,50000
"36",6790589870395.01,2605876.02744164,40000
"37",6881198990787.74,2623203.95524018,40000
"38",7223145645999.97,2687591.04887629,50000
"39",5994466325432.38,2448359.92563029,30000
"40",6206583752023.37,2491301.61803491,10000
"41",6553971347837.51,2560072.52784711,30000
"42",6487406267691.16,2547038.72520446,40000
"43",6885417648459.21,2624007.93605111,40000
"44",6238000598405.11,2497598.96668883,30000
"45",6801107735261.86,2607893.3519724,40000
"46",6665744328057.71,2581810.28118987,20000
"47",6257370961674.42,2501473.75794239,10000
"48",6855023455386.03,2618209.97160007,30000
"49",6585352602155,2566194.18636918,30000
"50",6277257587029.56,2505445.58652339,30000
"51",6707566274221.62,2589896.96208587,20000
"52",6885463519124.29,2624016.67660941,20000
"53",7582219322024.08,2753582.99711922,40000
"54",6419663360961.46,2533705.46057774,40000
"55",6537750225931.89,2556902.46703543,20000
"56",6736890401907.23,2595552.04184143,50000
"57",6158203054033.36,2481572.69771275,40000
"58",6376852841327.11,2525243.12519153,20000
"59",6738657033465.43,2595892.33857366,50000
"60",6205398127576.06,2491063.65385874,40000
"61",6981838959572.69,2642316.96803633,40000
"62",7099590753120.19,2664505.72397963,30000
"63",6875451651304.88,2622108.24553543,20000
"64",6309228367556.22,2511817.74170743,30000
"65",6648353176731.99,2578440.06653868,10000
"66",6201706201709.26,2490322.50957768,50000
"67",7109115539651.14,2666292.47076369,50000
"68",6373707112427.43,2524620.19171745,20000
"69",5861602039745.84,2421074.56302895,40000
"70",7108962378544.41,2666263.74887114,10000
"71",6467340804212.48,2543096.69580464,50000
"72",7262758771567.45,2694950.6065172,40000
"73",6394481710420.3,2528731.24519398,40000
"74",7018185207111.35,2649185.76304331,30000
"75",7736799780819.58,2781510.34167044,20000
"76",6943138702584.54,2634983.62472797,30000
"77",6442483203796.97,2538204.72062381,50000
"78",6263714700384.02,2502741.43698146,40000
"79",7234250500533.1,2689656.20489554,20000
"80",6795219153878.27,2606764.11550379,10000
"81",6723692487847.43,2593008.3856107,20000
"82",7160773868164.93,2675962.23220077,40000
"83",6201543160901.12,2490289.77448431,40000
"84",7512273699463.4,2740852.73217358,20000
"85",6413466987689.11,2532482.37658016,30000
"86",6628080110216.66,2574505.79921985,40000
"87",6394340656048.27,2528703.3546955,10000
"88",6716084637765.89,2591540.97744294,50000
"89",6913531633202.18,2629359.54810334,20000
"90",7137032707730.86,2671522.54486667,10000
"91",6568218304989.27,2562853.54731582,50000
"92",6707937817081.85,2589968.6903671,30000
"93",6123651613659.46,2474601.30397999,30000
"94",7010026869001.45,2647645.53311078,50000
"95",6819960141691.08,2611505.34016132,40000
"96",6677731807057.14,2584130.76431073,30000
"97",6968434544503.98,2639779.26056403,30000
"98",7012432555507.38,2648099.80089637,50000
"99",6631698670827.25,2575208.47133339,40000
"100",6544051237167.29,2558134.32742835,50000
